	BioProject	BioSample	Body_Site	project	base_media	treatment	growth_phase	isolate	reference_condition	skip	OD-600	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID	passed_replicate_correlations	genetic_changes	name	condition
Metab_17	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340	TSB;Mutant;exp;JE2;ilvA::bursa
Metab_18	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340	TSB;Mutant;exp;JE2;ilvA::bursa
Metab_19	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340	TSB;2g/L glucose;exp;JE2;ilvA::bursa
Metab_2	Metabolism			central metabolism	TSB	Control	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R2_001.fastq.gz	True	Control	central metabolism:TSB:Control:Exponential:JE2:WT	True	True		True			central-metab								True	WT		TSB;Control;exp;JE2;WT
Metab_20	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvA::bursa; NE340	True	True		True			central-metab								True	ilvA::bursa	 NE340	TSB;2g/L glucose;exp;JE2;ilvA::bursa
Metab_3	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R2_001.fastq.gz	True	2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:WT	True	True		True			central-metab								True	WT		TSB;2g/L glucose;exp;JE2;WT
Metab_4	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R2_001.fastq.gz	True	2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:WT	True	True		True			central-metab								True	WT		TSB;2g/L glucose;exp;JE2;WT
Metab_5	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718	TSB;Mutant;exp;JE2;ilvd::bursa
Metab_6	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718	TSB;Mutant;exp;JE2;ilvd::bursa
Metab_7	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718	TSB;2g/L glucose;exp;JE2;ilvd::bursa
Metab_8	Metabolism			central metabolism	TSB	2g/L glucose	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose	central metabolism:TSB:2g/L glucose:Exponential:JE2:ilvd::bursa; NE718	True	True		True			central-metab								True	ilvd::bursa	 NE718	TSB;2g/L glucose;exp;JE2;ilvd::bursa
Metab_9	Metabolism			central metabolism	TSB	Mutant	exp	JE2	Control						PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R2_001.fastq.gz	True	Mutant	central metabolism:TSB:Mutant:Exponential:JE2:ccpA::bursa; NE1670	True	True		True			central-metab								True	ccpA::bursa	 NE1670	TSB;Mutant;exp;JE2;ccpA::bursa
ERX2284917	PRJEB23980	SAMEA104450491		3abx treatment	TSB	0.25 ug/mL Linezolid	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231575	ERP105769	ERS2068433	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:0.25 ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.25 ug/mL Linezolid;exp;TCH1516;WT
ERX2284918	PRJEB23980	SAMEA104450492		3abx treatment	TSB	0.25 ug/mL Linezolid	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231576	ERP105769	ERS2068434	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:0.25 ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.25 ug/mL Linezolid;exp;TCH1516;WT
ERX2284921	PRJEB23980	SAMEA104450495		3abx treatment	TSB	0.5 ug/mL Vancomycin	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231579	ERP105769	ERS2068437	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:0.5 ug/mL Vancomycin:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.5 ug/mL Vancomycin;exp;TCH1516;WT
ERX2284922	PRJEB23980	SAMEA104450496		3abx treatment	TSB	0.5 ug/mL Vancomycin	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231580	ERP105769	ERS2068438	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:0.5 ug/mL Vancomycin:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.5 ug/mL Vancomycin;exp;TCH1516;WT
ERX2284919	PRJEB23980	SAMEA104450493		3abx treatment	TSB	2.5 ug/mL Nafcillin	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231577	ERP105769	ERS2068435	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:2.5 ug/mL Nafcillin:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;2.5 ug/mL Nafcillin;exp;TCH1516;WT
ERX2284920	PRJEB23980	SAMEA104450494		3abx treatment	TSB	2.5 ug/mL Nafcillin	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231578	ERP105769	ERS2068436	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:2.5 ug/mL Nafcillin:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;2.5 ug/mL Nafcillin;exp;TCH1516;WT
ERX2284915	PRJEB23980	SAMEA104450489		3abx treatment	TSB	Control	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231573	ERP105769	ERS2068431	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:Control:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;Control;exp;TCH1516;WT
ERX2284916	PRJEB23980	SAMEA104450490		3abx treatment	TSB	Control	exp	TCH1516	Control		0.8	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231574	ERP105769	ERS2068432	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516					3abx treatment:TSB:Control:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;Control;exp;TCH1516;WT
ERX5228512	PRJEB43496	SAMEA8227703		H2O2 Treatment	TSB	20mM H2O2	exp	JE2	Control				0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443885	ERP127468	ERS5914274	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280					H2O2 Treatment:TSB:20mM H2O2:Exponential:JE2:WT	True	True		True				GENEVA UNIVERSITY HOSPITALS		13673561	18302727				True	WT		TSB;20mM H2O2;exp;JE2;WT
ERX5228513	PRJEB43496	SAMEA8227704		H2O2 Treatment	TSB	20mM H2O2	exp	JE2	Control				0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443886	ERP127468	ERS5914275	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280					H2O2 Treatment:TSB:20mM H2O2:Exponential:JE2:WT	True	True		True				GENEVA UNIVERSITY HOSPITALS		13673562	18305878				True	WT		TSB;20mM H2O2;exp;JE2;WT
ERX5228514	PRJEB43496	SAMEA8227705		H2O2 Treatment	TSB	20mM H2O2	exp	JE2	Control				0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443887	ERP127468	ERS5914276	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280					H2O2 Treatment:TSB:20mM H2O2:Exponential:JE2:WT	True	True		True				GENEVA UNIVERSITY HOSPITALS		13673563	18302729				True	WT		TSB;20mM H2O2;exp;JE2;WT
ERX5228516	PRJEB43496	SAMEA8227707		H2O2 Treatment	TSB	Control	exp	JE2	Control				0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443889	ERP127468	ERS5914278	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280					H2O2 Treatment:TSB:Control:Exponential:JE2:WT	True	True		True				GENEVA UNIVERSITY HOSPITALS		13673565	18302734				True	WT		TSB;Control;exp;JE2;WT
ERX5228517	PRJEB43496	SAMEA8227708		H2O2 Treatment	TSB	Control	exp	JE2	Control				0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443890	ERP127468	ERS5914279	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280					H2O2 Treatment:TSB:Control:Exponential:JE2:WT	True	True		True				GENEVA UNIVERSITY HOSPITALS		13677312	18302733				True	WT		TSB;Control;exp;JE2;WT
SRX2343957	PRJNA353307	SAMN06013839		delta_ftsHA 	TSB	Control	exp	USA300-P23	Control			no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014659	SRP093306	SRS1796590	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830					delta_ftsHA :TSB:Control:Exponential:USA300-P23:WT	True	True		True											True	WT		TSB;Control;exp;USA300-P23;WT
SRX2343958	PRJNA353307	SAMN06013844		delta_ftsHA 	TSB	Control	exp	USA300-P23	Control			no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014660	SRP093306	SRS1796604	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830					delta_ftsHA :TSB:Control:Exponential:USA300-P23:WT	True	True		True											True	WT		TSB;Control;exp;USA300-P23;WT
SRX2343959	PRJNA353307	SAMN06013843		delta_ftsHA 	TSB	Control	exp	USA300-P23	Control			no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014661	SRP093306	SRS1796608	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830					delta_ftsHA :TSB:Control:Exponential:USA300-P23:WT	True	True		True											True	WT		TSB;Control;exp;USA300-P23;WT
SRX2343960	PRJNA353307	SAMN06013842		delta_ftsHA 	TSB	Mutant	exp	USA300-P23	Control			no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014662	SRP093306	SRS1796592	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830					delta_ftsHA :TSB:Mutant:Exponential:USA300-P23:d-ftsH	True	True		True											True	d-ftsH		TSB;Mutant;exp;USA300-P23;d-ftsH
SRX2343961	PRJNA353307	SAMN06013841		delta_ftsHA 	TSB	Mutant	exp	USA300-P23	Control			no-plasmids; USA300_p23	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		353307	9/15/2017 16:28	SRR5014663	SRP093306	SRS1796602	Staphylococcus aureus subsp. aureus USA300	SRA492670	367830	91061	Staphylococcus aureus	1280	367830					delta_ftsHA :TSB:Mutant:Exponential:USA300-P23:d-ftsH	True	True		True											True	d-ftsH		TSB;Mutant;exp;USA300-P23;d-ftsH
SRX2722028	PRJNA381938	SAMN06703209		3 abx treatment	TSB	0.25ug/mL Linezolid	exp	TCH1516	2.5ug/mL Nafcillin			TCH1516; Possibly BK Data	0	0	PAIRED	unspecified	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		381938	5/5/2018 0:29	SRR5432013	SRP103492	SRS2112513	Staphylococcus aureus	SRA552726	1280	91061	Staphylococcus aureus	1280	1280					3 abx treatment:TSB:0.25ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.25ug/mL Linezolid;exp;TCH1516;WT
SRX2722029	PRJNA381938	SAMN06703208		3 abx treatment	TSB	0.25ug/mL Linezolid	exp	TCH1516	2.5ug/mL Nafcillin			TCH1516; Possibly BK Data	0	0	PAIRED	unspecified	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		381938	5/5/2018 0:29	SRR5432012	SRP103492	SRS2112512	Staphylococcus aureus	SRA552726	1280	91061	Staphylococcus aureus	1280	1280					3 abx treatment:TSB:0.25ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.25ug/mL Linezolid;exp;TCH1516;WT
SRX2722030	PRJNA381938	SAMN06703207		3 abx treatment	TSB	0.25ug/mL Linezolid	exp	TCH1516	2.5ug/mL Nafcillin			TCH1516; Possibly BK Data	0	0	PAIRED	unspecified	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		381938	5/5/2018 0:29	SRR5432011	SRP103492	SRS2112511	Staphylococcus aureus	SRA552726	1280	91061	Staphylococcus aureus	1280	1280					3 abx treatment:TSB:0.25ug/mL Linezolid:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;0.25ug/mL Linezolid;exp;TCH1516;WT
SRX2722021	PRJNA381938	SAMN06703216		3 abx treatment	TSB	2.5ug/mL Nafcillin	exp	TCH1516	2.5ug/mL Nafcillin			TCH1516; Possibly BK Data	0	0	PAIRED	unspecified	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		381938	5/5/2018 0:29	SRR5432021	SRP103492	SRS2112521	Staphylococcus aureus	SRA552726	1280	91061	Staphylococcus aureus	1280	1280					3 abx treatment:TSB:2.5ug/mL Nafcillin:Exponential:TCH1516:WT	True	True		True											True	WT		TSB;2.5ug/mL Nafcillin;exp;TCH1516;WT
