All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS00185	USA300HOU_RS00185 // USA300HOU_RS00180 // USA300HOU_RS00175	USA300HOU_RS00185	44622	44933
USA300HOU_RS00190	USA300HOU_RS00190	USA300HOU_RS00190	45020	45370
USA300HOU_RS00195	USA300HOU_RS00200 // USA300HOU_RS00195	USA300HOU_RS00195	45892	47520
USA300HOU_RS00200	USA300HOU_RS00200 // USA300HOU_RS00195	USA300HOU_RS00200	47542	48891
USA300HOU_RS00205	USA300HOU_RS00210 // USA300HOU_RS00205	USA300HOU_RS00205	49125	50912
USA300HOU_RS00210	USA300HOU_RS00210 // USA300HOU_RS00205	USA300HOU_RS00210	50912	51202
USA300HOU_RS00215	USA300HOU_RS00215	USA300HOU_RS00215	51341	52390
USA300HOU_RS00220	USA300HOU_RS00220	USA300HOU_RS00220	53063	54553
USA300HOU_RS00230	USA300HOU_RS00230	USA300HOU_RS00230	54926	56244
USA300HOU_RS00235	USA300HOU_RS00235	USA300HOU_RS00235	56434	56805
USA300HOU_RS00240	USA300HOU_RS00240	USA300HOU_RS00240	56934	57554
USA300HOU_RS00245	USA300HOU_RS00245	USA300HOU_RS00245	59043	60008
USA300HOU_RS00250	USA300HOU_RS00250	USA300HOU_RS00250	60105	60296
USA300HOU_RS00255	USA300HOU_RS00255	USA300HOU_RS00255	60388	60717
USA300HOU_RS00260	USA300HOU_RS00260	USA300HOU_RS00260	60794	61153
USA300HOU_RS00265	USA300HOU_RS00265	USA300HOU_RS00265	61683	62533
USA300HOU_RS00270	USA300HOU_RS00270 // USA300HOU_RS14930	USA300HOU_RS00270	63046	63543
USA300HOU_RS00275	USA300HOU_RS00275	USA300HOU_RS00275	64041	65168
USA300HOU_RS00280	USA300HOU_RS00290 // USA300HOU_RS00285 // USA300HOU_RS00280	USA300HOU_RS00280	65423	65647
USA300HOU_RS00285	USA300HOU_RS00290 // USA300HOU_RS00285 // USA300HOU_RS00280	USA300HOU_RS00285	65661	66164
USA300HOU_RS00290	USA300HOU_RS00290 // USA300HOU_RS00285 // USA300HOU_RS00280	USA300HOU_RS00290	66180	66491
USA300HOU_RS00295	USA300HOU_RS00295	USA300HOU_RS00295	66578	66928
USA300HOU_RS00300	USA300HOU_RS00300	USA300HOU_RS00300	67736	68736
USA300HOU_RS00305	USA300HOU_RS00315 // USA300HOU_RS00310 // USA300HOU_RS00305	USA300HOU_RS00305	68836	69765
USA300HOU_RS00310	USA300HOU_RS00315 // USA300HOU_RS00310 // USA300HOU_RS00305	USA300HOU_RS00310	69785	70783
USA300HOU_RS00315	USA300HOU_RS00315 // USA300HOU_RS00310 // USA300HOU_RS00305	USA300HOU_RS00315	70821	71510
USA300HOU_RS00320	USA300HOU_RS00320	USA300HOU_RS00320	71552	72973
USA300HOU_RS00325	USA300HOU_RS00325	USA300HOU_RS00325	73059	74294
USA300HOU_RS00330	USA300HOU_RS00330	USA300HOU_RS00330	74563	75009
USA300HOU_RS00335	USA300HOU_RS00335	USA300HOU_RS00335	75511	75942
USA300HOU_RS00350	USA300HOU_RS00350	USA300HOU_RS00350	77076	77891
USA300HOU_RS00355	USA300HOU_RS00355	USA300HOU_RS00355	78192	79391
USA300HOU_RS00360	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00360	79651	80343
USA300HOU_RS00365	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00365	80340	81893
USA300HOU_RS00370	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00370	81896	82852
USA300HOU_RS00375	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00375	82852	83619
USA300HOU_RS00380	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00380	83586	84353
USA300HOU_RS00385	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	USA300HOU_RS00385	84346	84981
USA300HOU_RS00390	USA300HOU_RS00395 // USA300HOU_RS00390	USA300HOU_RS00390	86001	88064
USA300HOU_RS00395	USA300HOU_RS00395 // USA300HOU_RS00390	USA300HOU_RS00395	88082	88627
USA300HOU_RS00400	USA300HOU_RS00400	USA300HOU_RS00400	89055	89189
USA300HOU_RS00405	USA300HOU_RS00405	USA300HOU_RS00405	89153	89245
USA300HOU_RS00410	USA300HOU_RS00410	USA300HOU_RS00410	89392	91139
USA300HOU_RS00415	USA300HOU_RS00420 // USA300HOU_RS00415	USA300HOU_RS00415	91233	91685
USA300HOU_RS00420	USA300HOU_RS00420 // USA300HOU_RS00415	USA300HOU_RS00420	91701	91802
USA300HOU_RS00425	USA300HOU_RS00430 // USA300HOU_RS00425	USA300HOU_RS00425	91900	92655
USA300HOU_RS00430	USA300HOU_RS00430 // USA300HOU_RS00425	USA300HOU_RS00430	92655	92915
USA300HOU_RS00435	USA300HOU_RS14950 // USA300HOU_RS00440 // USA300HOU_RS00435	USA300HOU_RS00435	93052	94119
USA300HOU_RS00440	USA300HOU_RS14950 // USA300HOU_RS00440 // USA300HOU_RS00435	USA300HOU_RS00440	94150	95484
USA300HOU_RS00450	USA300HOU_RS14960 // USA300HOU_RS00450	USA300HOU_RS00450	96963	97064
USA300HOU_RS00455	USA300HOU_RS00455	USA300HOU_RS00455	97363	98295
USA300HOU_RS00460	USA300HOU_RS00460	USA300HOU_RS00460	98658	98861
USA300HOU_RS00465	USA300HOU_RS00465	USA300HOU_RS00465	98910	99206
USA300HOU_RS00470	USA300HOU_RS00475 // USA300HOU_RS00470	USA300HOU_RS00470	99278	100498
USA300HOU_RS00475	USA300HOU_RS00475 // USA300HOU_RS00470	USA300HOU_RS00475	100491	100976
USA300HOU_RS00480	USA300HOU_RS00480	USA300HOU_RS00480	101154	102014
USA300HOU_RS00485	USA300HOU_RS00485	USA300HOU_RS00485	102369	102902
USA300HOU_RS00490	USA300HOU_RS00490	USA300HOU_RS00490	102993	103736
USA300HOU_RS00495	USA300HOU_RS00495	USA300HOU_RS00495	104170	104772
USA300HOU_RS00500	USA300HOU_RS00500	USA300HOU_RS00500	105039	108191
USA300HOU_RS00505	USA300HOU_RS00505	USA300HOU_RS00505	108248	108730
USA300HOU_RS00510	USA300HOU_RS00510	USA300HOU_RS00510	108935	109921
USA300HOU_RS00515	USA300HOU_RS00515	USA300HOU_RS00515	110142	110912
USA300HOU_RS00520	USA300HOU_RS00520	USA300HOU_RS00520	110964	111734
USA300HOU_RS00525	USA300HOU_RS00525	USA300HOU_RS00525	111798	112568
USA300HOU_RS00530	USA300HOU_RS00530	USA300HOU_RS00530	112635	113402
USA300HOU_RS00535	USA300HOU_RS00535	USA300HOU_RS00535	113535	115733
USA300HOU_RS00540	USA300HOU_RS00545 // USA300HOU_RS00540	USA300HOU_RS00540	115884	117062
USA300HOU_RS00545	USA300HOU_RS00545 // USA300HOU_RS00540	USA300HOU_RS00545	117064	118452
USA300HOU_RS00550	USA300HOU_RS00550	USA300HOU_RS00550	118945	120606
USA300HOU_RS00555	USA300HOU_RS00555	USA300HOU_RS00555	120932	122707
USA300HOU_RS00560	USA300HOU_RS00560	USA300HOU_RS00560	122881	123753
USA300HOU_RS00565	USA300HOU_RS00565	USA300HOU_RS00565	123866	125263
USA300HOU_RS00570	USA300HOU_RS00570	USA300HOU_RS00570	125453	125926
USA300HOU_RS00575	USA300HOU_RS00575	USA300HOU_RS00575	126188	127780
USA300HOU_RS00580	USA300HOU_RS00580	USA300HOU_RS00580	128109	129587
USA300HOU_RS00585	USA300HOU_RS00585	USA300HOU_RS00585	130008	130760
USA300HOU_RS00590	USA300HOU_RS00600 // USA300HOU_RS00595 // USA300HOU_RS00590	USA300HOU_RS00590	131129	132127
USA300HOU_RS00595	USA300HOU_RS00600 // USA300HOU_RS00595 // USA300HOU_RS00590	USA300HOU_RS00595	132124	133119
USA300HOU_RS00600	USA300HOU_RS00600 // USA300HOU_RS00595 // USA300HOU_RS00590	USA300HOU_RS00600	133135	134127
USA300HOU_RS00605	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	USA300HOU_RS00605	134358	135338
USA300HOU_RS00610	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	USA300HOU_RS00610	135335	136345
USA300HOU_RS00615	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	USA300HOU_RS00615	136366	138120
USA300HOU_RS00620	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	USA300HOU_RS00620	138113	139369
USA300HOU_RS00625	USA300HOU_RS00625 // USA300HOU_RS00620 // USA300HOU_RS00615 // USA300HOU_RS00610 // USA300HOU_RS00605	USA300HOU_RS00625	139359	141095
USA300HOU_RS00630	USA300HOU_RS00630	USA300HOU_RS00630	141004	142854
USA300HOU_RS00635	USA300HOU_RS00645 // USA300HOU_RS00640 // USA300HOU_RS00635	USA300HOU_RS00635	142829	143605
USA300HOU_RS00640	USA300HOU_RS00645 // USA300HOU_RS00640 // USA300HOU_RS00635	USA300HOU_RS00640	143605	144807
USA300HOU_RS00645	USA300HOU_RS00645 // USA300HOU_RS00640 // USA300HOU_RS00635	USA300HOU_RS00645	144811	145575
USA300HOU_RS00650	USA300HOU_RS00650	USA300HOU_RS00650	145513	145704
USA300HOU_RS00655	USA300HOU_RS00655	USA300HOU_RS00655	145771	146178
USA300HOU_RS00660	USA300HOU_RS00660	USA300HOU_RS00660	146228	146854
USA300HOU_RS00665	USA300HOU_RS00665	USA300HOU_RS00665	147066	147842
USA300HOU_RS00670	USA300HOU_RS00670	USA300HOU_RS00670	147986	148108
USA300HOU_RS00675	USA300HOU_RS00680 // USA300HOU_RS00675	USA300HOU_RS00675	148178	149158
USA300HOU_RS00680	USA300HOU_RS00680 // USA300HOU_RS00675	USA300HOU_RS00680	149121	149813
USA300HOU_RS00685	USA300HOU_RS00695 // USA300HOU_RS00690 // USA300HOU_RS00685	USA300HOU_RS00685	150023	151189
USA300HOU_RS00690	USA300HOU_RS00695 // USA300HOU_RS00690 // USA300HOU_RS00685	USA300HOU_RS00690	151170	152408
USA300HOU_RS00695	USA300HOU_RS00695 // USA300HOU_RS00690 // USA300HOU_RS00685	USA300HOU_RS00695	152398	153828
USA300HOU_RS00700	USA300HOU_RS00700	USA300HOU_RS00700	154096	154695
USA300HOU_RS00705	USA300HOU_RS00705	USA300HOU_RS00705	155063	155788
USA300HOU_RS00710	USA300HOU_RS00710	USA300HOU_RS00710	155980	156735
USA300HOU_RS00720	USA300HOU_RS00735 // USA300HOU_RS00730 // USA300HOU_RS00725 // USA300HOU_RS00720	USA300HOU_RS00720	156971	157678
USA300HOU_RS00725	USA300HOU_RS00735 // USA300HOU_RS00730 // USA300HOU_RS00725 // USA300HOU_RS00720	USA300HOU_RS00725	157685	159037
USA300HOU_RS00730	USA300HOU_RS00735 // USA300HOU_RS00730 // USA300HOU_RS00725 // USA300HOU_RS00720	USA300HOU_RS00730	159118	159780
USA300HOU_RS00735	USA300HOU_RS00735 // USA300HOU_RS00730 // USA300HOU_RS00725 // USA300HOU_RS00720	USA300HOU_RS00735	159808	160986
USA300HOU_RS00740	USA300HOU_RS00750 // USA300HOU_RS00745 // USA300HOU_RS00740	USA300HOU_RS00740	161117	161932
USA300HOU_RS00745	USA300HOU_RS00750 // USA300HOU_RS00745 // USA300HOU_RS00740	USA300HOU_RS00745	161929	162729
USA300HOU_RS00750	USA300HOU_RS00750 // USA300HOU_RS00745 // USA300HOU_RS00740	USA300HOU_RS00750	162731	163504
USA300HOU_RS00755	USA300HOU_RS00755	USA300HOU_RS00755	163718	164674
USA300HOU_RS00760	USA300HOU_RS00760	USA300HOU_RS00760	164903	166447
USA300HOU_RS00765	USA300HOU_RS00765	USA300HOU_RS00765	166498	168033
USA300HOU_RS00770	USA300HOU_RS00770	USA300HOU_RS00770	168117	168320
USA300HOU_RS00775	USA300HOU_RS00780 // USA300HOU_RS00775	USA300HOU_RS00775	168693	169178
USA300HOU_RS00780	USA300HOU_RS00780 // USA300HOU_RS00775	USA300HOU_RS00780	169163	169453
USA300HOU_RS00785	USA300HOU_RS00785	USA300HOU_RS00785	169537	169863
USA300HOU_RS00795	USA300HOU_RS00795	USA300HOU_RS00795	171101	173710
USA300HOU_RS00800	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00800	174055	174723
USA300HOU_RS00805	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00805	174739	175425
USA300HOU_RS00810	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00810	175428	176192
USA300HOU_RS00815	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00815	176212	178036
USA300HOU_RS00820	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00820	178026	179054
USA300HOU_RS00825	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00825	179067	180176
USA300HOU_RS00830	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00830	180180	181304
USA300HOU_RS00835	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00835	181307	181933
USA300HOU_RS00840	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00840	181938	183047
USA300HOU_RS00845	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00845	183061	184227
USA300HOU_RS00850	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00850	184220	185425
USA300HOU_RS00855	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00855	185426	186631
USA300HOU_RS00860	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00860	186642	187199
USA300HOU_RS00865	USA300HOU_RS00865 // USA300HOU_RS00860 // USA300HOU_RS00855 // USA300HOU_RS00850 // USA300HOU_RS00845 // USA300HOU_RS00840 // USA300HOU_RS00835 // USA300HOU_RS00830 // USA300HOU_RS00825 // USA300HOU_RS00820 // USA300HOU_RS00815 // USA300HOU_RS00810 // USA300HOU_RS00805 // USA300HOU_RS00800	USA300HOU_RS00865	187199	188086
USA300HOU_RS00870	USA300HOU_RS00870	USA300HOU_RS00870	188140	189402
USA300HOU_RS00875	USA300HOU_RS00875	USA300HOU_RS00875	189479	190624
USA300HOU_RS00880	USA300HOU_RS00885 // USA300HOU_RS00880	USA300HOU_RS00880	190689	191015
USA300HOU_RS00885	USA300HOU_RS00885 // USA300HOU_RS00880	USA300HOU_RS00885	191022	191405
USA300HOU_RS00890	USA300HOU_RS00890	USA300HOU_RS00890	191832	193319
USA300HOU_RS00895	USA300HOU_RS00895	USA300HOU_RS00895	193965	194924
USA300HOU_RS00900	USA300HOU_RS00900	USA300HOU_RS00900	194986	195189
USA300HOU_RS00905	USA300HOU_RS00905	USA300HOU_RS00905	195368	195880
USA300HOU_RS00910	USA300HOU_RS00925 // USA300HOU_RS00920 // USA300HOU_RS00915 // USA300HOU_RS00910	USA300HOU_RS00910	196222	196962
