,gene_id,database,kegg_id
338,USA300HOU_RS01730,KEGG_ko,-
339,USA300HOU_RS01735,KEGG_ko,-
341,USA300HOU_RS01745,KEGG_ko,-
345,USA300HOU_RS01765,KEGG_ko,-
348,USA300HOU_RS01780,KEGG_ko,-
352,USA300HOU_RS01795,KEGG_ko,-
354,USA300HOU_RS01805,KEGG_ko,-
362,USA300HOU_RS01845,KEGG_ko,-
364,USA300HOU_RS01855,KEGG_ko,-
366,USA300HOU_RS01865,KEGG_ko,-
367,USA300HOU_RS01870,KEGG_ko,-
377,USA300HOU_RS01920,KEGG_ko,-
379,USA300HOU_RS01930,KEGG_ko,-
383,USA300HOU_RS01950,KEGG_ko,-
384,USA300HOU_RS15030,KEGG_ko,-
385,USA300HOU_RS01960,KEGG_ko,-
386,USA300HOU_RS01965,KEGG_ko,-
387,USA300HOU_RS01970,KEGG_ko,-
388,USA300HOU_RS01975,KEGG_ko,-
389,USA300HOU_RS01980,KEGG_ko,-
390,USA300HOU_RS01985,KEGG_ko,-
393,USA300HOU_RS02000,KEGG_ko,-
394,USA300HOU_RS02005,KEGG_ko,-
399,USA300HOU_RS02040,KEGG_ko,-
400,USA300HOU_RS02045,KEGG_ko,-
401,USA300HOU_RS02050,KEGG_ko,-
407,USA300HOU_RS02075,KEGG_ko,-
408,USA300HOU_RS02080,KEGG_ko,-
410,USA300HOU_RS02090,KEGG_ko,-
412,USA300HOU_RS02100,KEGG_ko,-
413,USA300HOU_RS02105,KEGG_ko,-
414,USA300HOU_RS02110,KEGG_ko,-
415,USA300HOU_RS02115,KEGG_ko,-
416,USA300HOU_RS02125,KEGG_ko,-
417,USA300HOU_RS02130,KEGG_ko,-
418,USA300HOU_RS02140,KEGG_ko,-
419,USA300HOU_RS02145,KEGG_ko,-
420,USA300HOU_RS02150,KEGG_ko,-
421,USA300HOU_RS02155,KEGG_ko,-
422,USA300HOU_RS02160,KEGG_ko,-
425,USA300HOU_RS02180,KEGG_ko,-
426,USA300HOU_RS02185,KEGG_ko,-
427,USA300HOU_RS02190,KEGG_ko,-
428,USA300HOU_RS02195,KEGG_ko,-
429,USA300HOU_RS02200,KEGG_ko,-
430,USA300HOU_RS02205,KEGG_ko,-
431,USA300HOU_RS02210,KEGG_ko,-
432,USA300HOU_RS02215,KEGG_ko,-
433,USA300HOU_RS02220,KEGG_ko,-
434,USA300HOU_RS02225,KEGG_ko,-
435,USA300HOU_RS02230,KEGG_ko,-
436,USA300HOU_RS02235,KEGG_ko,-
437,USA300HOU_RS02240,KEGG_ko,-
438,USA300HOU_RS02245,KEGG_ko,-
439,USA300HOU_RS02250,KEGG_ko,-
440,USA300HOU_RS02255,KEGG_ko,-
441,USA300HOU_RS02265,KEGG_ko,-
444,USA300HOU_RS02285,KEGG_ko,-
445,USA300HOU_RS15055,KEGG_ko,-
446,USA300HOU_RS02295,KEGG_ko,-
457,USA300HOU_RS02345,KEGG_ko,-
458,USA300HOU_RS02350,KEGG_ko,-
459,USA300HOU_RS02355,KEGG_ko,-
460,USA300HOU_RS02360,KEGG_ko,-
461,USA300HOU_RS02365,KEGG_ko,-
462,USA300HOU_RS02370,KEGG_ko,-
470,USA300HOU_RS02410,KEGG_ko,-
474,USA300HOU_RS02450,KEGG_ko,-
476,USA300HOU_RS02460,KEGG_ko,-
478,USA300HOU_RS02475,KEGG_ko,-
479,USA300HOU_RS02480,KEGG_ko,-
488,USA300HOU_RS02525,KEGG_ko,-
502,USA300HOU_RS02595,KEGG_ko,-
526,USA300HOU_RS02775,KEGG_ko,-
551,USA300HOU_RS02885,KEGG_ko,-
556,USA300HOU_RS02905,KEGG_ko,-
562,USA300HOU_RS02935,KEGG_ko,-
574,USA300HOU_RS02980,KEGG_ko,-
583,USA300HOU_RS03020,KEGG_ko,-
584,USA300HOU_RS03025,KEGG_ko,-
585,USA300HOU_RS03030,KEGG_ko,-
588,USA300HOU_RS03045,KEGG_ko,-
589,USA300HOU_RS03050,KEGG_ko,-
590,USA300HOU_RS03055,KEGG_ko,-
591,USA300HOU_RS03060,KEGG_ko,-
592,USA300HOU_RS03065,KEGG_ko,-
601,USA300HOU_RS03100,KEGG_ko,-
602,USA300HOU_RS03105,KEGG_ko,-
603,USA300HOU_RS03110,KEGG_ko,-
605,USA300HOU_RS03125,KEGG_ko,-
606,USA300HOU_RS03130,KEGG_ko,-
607,USA300HOU_RS03135,KEGG_ko,-
608,USA300HOU_RS03140,KEGG_ko,-
609,USA300HOU_RS03150,KEGG_ko,-
610,USA300HOU_RS03155,KEGG_ko,-
611,USA300HOU_RS15100,KEGG_ko,-
612,USA300HOU_RS03160,KEGG_ko,-
613,USA300HOU_RS03165,KEGG_ko,-
614,USA300HOU_RS03170,KEGG_ko,-
615,USA300HOU_RS03175,KEGG_ko,-
616,USA300HOU_RS03180,KEGG_ko,-
617,USA300HOU_RS03185,KEGG_ko,-
619,USA300HOU_RS03195,KEGG_ko,-
620,USA300HOU_RS03200,KEGG_ko,-
622,USA300HOU_RS03210,KEGG_ko,-
625,USA300HOU_RS03225,KEGG_ko,-
631,USA300HOU_RS03255,KEGG_ko,-
632,USA300HOU_RS03260,KEGG_ko,-
633,USA300HOU_RS03265,KEGG_ko,-
634,USA300HOU_RS03270,KEGG_ko,-
635,USA300HOU_RS03275,KEGG_ko,-
638,USA300HOU_RS03290,KEGG_ko,-
639,USA300HOU_RS03295,KEGG_ko,-
640,USA300HOU_RS03300,KEGG_ko,-
641,USA300HOU_RS03305,KEGG_ko,-
642,USA300HOU_RS03310,KEGG_ko,-
643,USA300HOU_RS03315,KEGG_ko,-
644,USA300HOU_RS03320,KEGG_ko,-
645,USA300HOU_RS03330,KEGG_ko,-
646,USA300HOU_RS03335,KEGG_ko,-
647,USA300HOU_RS03340,KEGG_ko,-
648,USA300HOU_RS03345,KEGG_ko,-
649,USA300HOU_RS03350,KEGG_ko,-
651,USA300HOU_RS03365,KEGG_ko,-
652,USA300HOU_RS03370,KEGG_ko,-
653,USA300HOU_RS03375,KEGG_ko,-
675,USA300HOU_RS03440,KEGG_ko,-
680,USA300HOU_RS03465,KEGG_ko,-
689,USA300HOU_RS03495,KEGG_ko,-
697,USA300HOU_RS03530,KEGG_ko,-
698,USA300HOU_RS03535,KEGG_ko,-
699,USA300HOU_RS03540,KEGG_ko,-
700,USA300HOU_RS03550,KEGG_ko,-
701,USA300HOU_RS03555,KEGG_ko,-
702,USA300HOU_RS03560,KEGG_ko,-
715,USA300HOU_RS03595,KEGG_ko,-
717,USA300HOU_RS03605,KEGG_ko,-
718,USA300HOU_RS03610,KEGG_ko,-
719,USA300HOU_RS03615,KEGG_ko,-
722,USA300HOU_RS03635,KEGG_ko,-
723,USA300HOU_RS03645,KEGG_ko,-
725,USA300HOU_RS03655,KEGG_ko,-
726,USA300HOU_RS03660,KEGG_ko,-
727,USA300HOU_RS03665,KEGG_ko,-
728,USA300HOU_RS03670,KEGG_ko,-
729,USA300HOU_RS03675,KEGG_ko,-
732,USA300HOU_RS03690,KEGG_ko,-
738,USA300HOU_RS03715,KEGG_ko,-
739,USA300HOU_RS03720,KEGG_ko,-
740,USA300HOU_RS03725,KEGG_ko,-
743,USA300HOU_RS03740,KEGG_ko,-
744,USA300HOU_RS03745,KEGG_ko,-
748,USA300HOU_RS03760,KEGG_ko,-
756,USA300HOU_RS03795,KEGG_ko,-
757,USA300HOU_RS03800,KEGG_ko,-
762,USA300HOU_RS03825,KEGG_ko,-
763,USA300HOU_RS03830,KEGG_ko,-
774,USA300HOU_RS03875,KEGG_ko,-
782,USA300HOU_RS03915,KEGG_ko,-
783,USA300HOU_RS03920,KEGG_ko,-
785,USA300HOU_RS03935,KEGG_ko,-
786,USA300HOU_RS03940,KEGG_ko,-
794,USA300HOU_RS03990,KEGG_ko,-
796,USA300HOU_RS04000,KEGG_ko,-
797,USA300HOU_RS04005,KEGG_ko,-
798,USA300HOU_RS04010,KEGG_ko,-
801,USA300HOU_RS04025,KEGG_ko,-
802,USA300HOU_RS04030,KEGG_ko,-
803,USA300HOU_RS04035,KEGG_ko,-
806,USA300HOU_RS04050,KEGG_ko,-
813,USA300HOU_RS04100,KEGG_ko,-
819,USA300HOU_RS04130,KEGG_ko,-
822,USA300HOU_RS04150,KEGG_ko,-
826,USA300HOU_RS04175,KEGG_ko,-
833,USA300HOU_RS04210,KEGG_ko,-
838,USA300HOU_RS04240,KEGG_ko,-
839,USA300HOU_RS04245,KEGG_ko,-
840,USA300HOU_RS04260,KEGG_ko,-
841,USA300HOU_RS04265,KEGG_ko,-
844,USA300HOU_RS04275,KEGG_ko,-
845,USA300HOU_RS04285,KEGG_ko,-
848,USA300HOU_RS04300,KEGG_ko,-
849,USA300HOU_RS04305,KEGG_ko,-
850,USA300HOU_RS04310,KEGG_ko,-
851,USA300HOU_RS04315,KEGG_ko,-
852,USA300HOU_RS04320,KEGG_ko,-
853,USA300HOU_RS04325,KEGG_ko,-
854,USA300HOU_RS04330,KEGG_ko,-
855,USA300HOU_RS04335,KEGG_ko,-
857,USA300HOU_RS04345,KEGG_ko,-
858,USA300HOU_RS04350,KEGG_ko,-
860,USA300HOU_RS04360,KEGG_ko,-
861,USA300HOU_RS04365,KEGG_ko,-
864,USA300HOU_RS04385,KEGG_ko,-
866,USA300HOU_RS04400,KEGG_ko,-
872,USA300HOU_RS04420,KEGG_ko,-
873,USA300HOU_RS04425,KEGG_ko,-
874,USA300HOU_RS04430,KEGG_ko,-
875,USA300HOU_RS04435,KEGG_ko,-
876,USA300HOU_RS04440,KEGG_ko,-
877,USA300HOU_RS04445,KEGG_ko,-
878,USA300HOU_RS04450,KEGG_ko,-
879,USA300HOU_RS15185,KEGG_ko,-
880,USA300HOU_RS04455,KEGG_ko,-
881,USA300HOU_RS04460,KEGG_ko,-
882,USA300HOU_RS04465,KEGG_ko,-
884,USA300HOU_RS04475,KEGG_ko,-
885,USA300HOU_RS04490,KEGG_ko,-
886,USA300HOU_RS15195,KEGG_ko,-
887,USA300HOU_RS04495,KEGG_ko,-
888,USA300HOU_RS04505,KEGG_ko,-
897,USA300HOU_RS04545,KEGG_ko,-
898,USA300HOU_RS04550,KEGG_ko,-
900,USA300HOU_RS04565,KEGG_ko,-
904,USA300HOU_RS04585,KEGG_ko,-
905,USA300HOU_RS04590,KEGG_ko,-
906,USA300HOU_RS04595,KEGG_ko,-
909,USA300HOU_RS04615,KEGG_ko,-
914,USA300HOU_RS04640,KEGG_ko,-
915,USA300HOU_RS04645,KEGG_ko,-
917,USA300HOU_RS04655,KEGG_ko,-
922,USA300HOU_RS04680,KEGG_ko,-
923,USA300HOU_RS04685,KEGG_ko,-
936,USA300HOU_RS04740,KEGG_ko,-
944,USA300HOU_RS04780,KEGG_ko,-
949,USA300HOU_RS04805,KEGG_ko,-
950,USA300HOU_RS04810,KEGG_ko,-
953,USA300HOU_RS04825,KEGG_ko,-
954,USA300HOU_RS04830,KEGG_ko,-
956,USA300HOU_RS04840,KEGG_ko,-
959,USA300HOU_RS04855,KEGG_ko,-
962,USA300HOU_RS04870,KEGG_ko,-
966,USA300HOU_RS04885,KEGG_ko,-
985,USA300HOU_RS04965,KEGG_ko,-
987,USA300HOU_RS04975,KEGG_ko,-
988,USA300HOU_RS04980,KEGG_ko,-
997,USA300HOU_RS05015,KEGG_ko,-
1000,USA300HOU_RS05030,KEGG_ko,-
1001,USA300HOU_RS05035,KEGG_ko,-
1005,USA300HOU_RS05050,KEGG_ko,-
1007,USA300HOU_RS05060,KEGG_ko,-
1009,USA300HOU_RS05070,KEGG_ko,-
1010,USA300HOU_RS05075,KEGG_ko,-
1012,USA300HOU_RS05095,KEGG_ko,-
1014,USA300HOU_RS05105,KEGG_ko,-
1016,USA300HOU_RS15225,KEGG_ko,-
1017,USA300HOU_RS05125,KEGG_ko,-
1018,USA300HOU_RS05130,KEGG_ko,-
1023,USA300HOU_RS05170,KEGG_ko,-
1031,USA300HOU_RS05205,KEGG_ko,-
1035,USA300HOU_RS05225,KEGG_ko,-
1036,USA300HOU_RS05230,KEGG_ko,-
1038,USA300HOU_RS05245,KEGG_ko,-
1039,USA300HOU_RS05250,KEGG_ko,-
1040,USA300HOU_RS05255,KEGG_ko,-
1041,USA300HOU_RS05260,KEGG_ko,-
1046,USA300HOU_RS05290,KEGG_ko,-
1051,USA300HOU_RS05315,KEGG_ko,-
1063,USA300HOU_RS05380,KEGG_ko,-
1065,USA300HOU_RS05390,KEGG_ko,-
1068,USA300HOU_RS05405,KEGG_ko,-
1073,USA300HOU_RS05435,KEGG_ko,-
1075,USA300HOU_RS05450,KEGG_ko,-
1080,USA300HOU_RS05475,KEGG_ko,-
1081,USA300HOU_RS05480,KEGG_ko,-
1087,USA300HOU_RS05505,KEGG_ko,-
1088,USA300HOU_RS05510,KEGG_ko,-
1090,USA300HOU_RS05520,KEGG_ko,-
1092,USA300HOU_RS05530,KEGG_ko,-
1094,USA300HOU_RS05540,KEGG_ko,-
1095,USA300HOU_RS05545,KEGG_ko,-
1096,USA300HOU_RS05550,KEGG_ko,-
1102,USA300HOU_RS05585,KEGG_ko,-
1103,USA300HOU_RS05590,KEGG_ko,-
1105,USA300HOU_RS05600,KEGG_ko,-
1106,USA300HOU_RS05605,KEGG_ko,-
1109,USA300HOU_RS05620,KEGG_ko,-
1112,USA300HOU_RS05640,KEGG_ko,-
1114,USA300HOU_RS05650,KEGG_ko,-
1124,USA300HOU_RS05710,KEGG_ko,-
1136,USA300HOU_RS05790,KEGG_ko,-
1138,USA300HOU_RS05800,KEGG_ko,-
1140,USA300HOU_RS05835,KEGG_ko,-
1141,USA300HOU_RS05845,KEGG_ko,-
1142,USA300HOU_RS05850,KEGG_ko,-
1143,USA300HOU_RS05855,KEGG_ko,-
1146,USA300HOU_RS05870,KEGG_ko,-
1147,USA300HOU_RS05875,KEGG_ko,-
1153,USA300HOU_RS05910,KEGG_ko,-
1157,USA300HOU_RS05930,KEGG_ko,-
1170,USA300HOU_RS05985,KEGG_ko,-
1174,USA300HOU_RS06005,KEGG_ko,-
1185,USA300HOU_RS06065,KEGG_ko,-
1186,USA300HOU_RS06070,KEGG_ko,-
1192,USA300HOU_RS06095,KEGG_ko,-
1193,USA300HOU_RS06100,KEGG_ko,-
1205,USA300HOU_RS06155,KEGG_ko,-
1208,USA300HOU_RS06170,KEGG_ko,-
1222,USA300HOU_RS06250,KEGG_ko,-
1227,USA300HOU_RS06275,KEGG_ko,-
1228,USA300HOU_RS06280,KEGG_ko,-
1249,USA300HOU_RS06390,KEGG_ko,-
1260,USA300HOU_RS06440,KEGG_ko,-
1261,USA300HOU_RS06445,KEGG_ko,-
1263,USA300HOU_RS06455,KEGG_ko,-
1266,USA300HOU_RS06470,KEGG_ko,-
1269,USA300HOU_RS06485,KEGG_ko,-
1275,USA300HOU_RS06505,KEGG_ko,-
1278,USA300HOU_RS06520,KEGG_ko,-
1286,USA300HOU_RS06555,KEGG_ko,-
1291,USA300HOU_RS06580,KEGG_ko,-
1295,USA300HOU_RS06595,KEGG_ko,-
1296,USA300HOU_RS06600,KEGG_ko,-
1297,USA300HOU_RS06605,KEGG_ko,-
1298,USA300HOU_RS06615,KEGG_ko,-
1299,USA300HOU_RS06630,KEGG_ko,-
1300,USA300HOU_RS06635,KEGG_ko,-
1301,USA300HOU_RS06640,KEGG_ko,-
1302,USA300HOU_RS06655,KEGG_ko,-
1303,USA300HOU_RS15760,KEGG_ko,-
1304,USA300HOU_RS06670,KEGG_ko,-
1305,USA300HOU_RS06675,KEGG_ko,-
1306,USA300HOU_RS06680,KEGG_ko,-
1307,USA300HOU_RS06685,KEGG_ko,-
1309,USA300HOU_RS06695,KEGG_ko,-
1317,USA300HOU_RS06735,KEGG_ko,-
1318,USA300HOU_RS06740,KEGG_ko,-
1323,USA300HOU_RS06765,KEGG_ko,-
1324,USA300HOU_RS06770,KEGG_ko,-
1329,USA300HOU_RS06800,KEGG_ko,-
1330,USA300HOU_RS06810,KEGG_ko,-
1332,USA300HOU_RS06820,KEGG_ko,-
1333,USA300HOU_RS06825,KEGG_ko,-
1336,USA300HOU_RS06845,KEGG_ko,-
1343,USA300HOU_RS06880,KEGG_ko,-
1351,USA300HOU_RS06920,KEGG_ko,-
1354,USA300HOU_RS06935,KEGG_ko,-
1359,USA300HOU_RS06955,KEGG_ko,-
1373,USA300HOU_RS07005,KEGG_ko,-
1374,USA300HOU_RS07010,KEGG_ko,-
1379,USA300HOU_RS07035,KEGG_ko,-
1380,USA300HOU_RS07040,KEGG_ko,-
1381,USA300HOU_RS07045,KEGG_ko,-
1387,USA300HOU_RS15290,KEGG_ko,-
1389,USA300HOU_RS07090,KEGG_ko,-
1400,USA300HOU_RS07150,KEGG_ko,-
1402,USA300HOU_RS07160,KEGG_ko,-
1403,USA300HOU_RS07165,KEGG_ko,-
1404,USA300HOU_RS15300,KEGG_ko,-
1406,USA300HOU_RS07185,KEGG_ko,-
1408,USA300HOU_RS07195,KEGG_ko,-
1417,USA300HOU_RS07250,KEGG_ko,-
1419,USA300HOU_RS07265,KEGG_ko,-
1424,USA300HOU_RS07285,KEGG_ko,-
1427,USA300HOU_RS07300,KEGG_ko,-
1428,USA300HOU_RS07305,KEGG_ko,-
1429,USA300HOU_RS07310,KEGG_ko,-
1430,USA300HOU_RS07315,KEGG_ko,-
1433,USA300HOU_RS07340,KEGG_ko,-
1438,USA300HOU_RS07365,KEGG_ko,-
1439,USA300HOU_RS07370,KEGG_ko,-
1440,USA300HOU_RS07375,KEGG_ko,-
1441,USA300HOU_RS07385,KEGG_ko,-
1443,USA300HOU_RS07395,KEGG_ko,-
1444,USA300HOU_RS07400,KEGG_ko,-
1445,USA300HOU_RS07405,KEGG_ko,-
1448,USA300HOU_RS07425,KEGG_ko,-
1456,USA300HOU_RS07465,KEGG_ko,-
1458,USA300HOU_RS07475,KEGG_ko,-
1459,USA300HOU_RS07480,KEGG_ko,-
1460,USA300HOU_RS07485,KEGG_ko,-
1468,USA300HOU_RS07525,KEGG_ko,-
1476,USA300HOU_RS07590,KEGG_ko,-
1478,USA300HOU_RS07600,KEGG_ko,-
1480,USA300HOU_RS07610,KEGG_ko,-
1481,USA300HOU_RS07620,KEGG_ko,-
1482,USA300HOU_RS07630,KEGG_ko,-
1483,USA300HOU_RS07635,KEGG_ko,-
1484,USA300HOU_RS07645,KEGG_ko,-
1485,USA300HOU_RS07650,KEGG_ko,-
1486,USA300HOU_RS07655,KEGG_ko,-
1487,USA300HOU_RS07660,KEGG_ko,-
1488,USA300HOU_RS07665,KEGG_ko,-
1489,USA300HOU_RS07685,KEGG_ko,-
1490,USA300HOU_RS07695,KEGG_ko,-
1491,USA300HOU_RS07700,KEGG_ko,-
1492,USA300HOU_RS07705,KEGG_ko,-
1493,USA300HOU_RS07710,KEGG_ko,-
1494,USA300HOU_RS07715,KEGG_ko,-
1495,USA300HOU_RS07720,KEGG_ko,-
1496,USA300HOU_RS07725,KEGG_ko,-
1497,USA300HOU_RS07730,KEGG_ko,-
1498,USA300HOU_RS07735,KEGG_ko,-
1499,USA300HOU_RS07740,KEGG_ko,-
1500,USA300HOU_RS07750,KEGG_ko,-
1501,USA300HOU_RS07755,KEGG_ko,-
1502,USA300HOU_RS07760,KEGG_ko,-
1503,USA300HOU_RS07765,KEGG_ko,-
1504,USA300HOU_RS07770,KEGG_ko,-
1505,USA300HOU_RS07775,KEGG_ko,-
1506,USA300HOU_RS07780,KEGG_ko,-
1507,USA300HOU_RS07785,KEGG_ko,-
1508,USA300HOU_RS07790,KEGG_ko,-
1509,USA300HOU_RS07800,KEGG_ko,-
1510,USA300HOU_RS07810,KEGG_ko,-
1511,USA300HOU_RS07815,KEGG_ko,-
1512,USA300HOU_RS07820,KEGG_ko,-
1513,USA300HOU_RS07830,KEGG_ko,-
1514,USA300HOU_RS07835,KEGG_ko,-
1515,USA300HOU_RS07840,KEGG_ko,-
1516,USA300HOU_RS07845,KEGG_ko,-
1517,USA300HOU_RS07855,KEGG_ko,-
1518,USA300HOU_RS07860,KEGG_ko,-
1519,USA300HOU_RS07865,KEGG_ko,-
1520,USA300HOU_RS07870,KEGG_ko,-
1521,USA300HOU_RS07875,KEGG_ko,-
1522,USA300HOU_RS07880,KEGG_ko,-
1523,USA300HOU_RS07890,KEGG_ko,-
1524,USA300HOU_RS07910,KEGG_ko,-
1525,USA300HOU_RS07930,KEGG_ko,-
1526,USA300HOU_RS07935,KEGG_ko,-
1527,USA300HOU_RS07945,KEGG_ko,-
1528,USA300HOU_RS07955,KEGG_ko,-
1529,USA300HOU_RS07960,KEGG_ko,-
1530,USA300HOU_RS15320,KEGG_ko,-
1531,USA300HOU_RS15325,KEGG_ko,-
1532,USA300HOU_RS07970,KEGG_ko,-
1542,USA300HOU_RS08020,KEGG_ko,-
1547,USA300HOU_RS08050,KEGG_ko,-
1549,USA300HOU_RS08060,KEGG_ko,-
1554,USA300HOU_RS08090,KEGG_ko,-
1555,USA300HOU_RS08095,KEGG_ko,-
1574,USA300HOU_RS08175,KEGG_ko,-
1575,USA300HOU_RS08180,KEGG_ko,-
1577,USA300HOU_RS08190,KEGG_ko,-
1584,USA300HOU_RS08225,KEGG_ko,-
1591,USA300HOU_RS08255,KEGG_ko,-
1593,USA300HOU_RS08265,KEGG_ko,-
1610,USA300HOU_RS08320,KEGG_ko,-
1615,USA300HOU_RS08345,KEGG_ko,-
1624,USA300HOU_RS08385,KEGG_ko,-
1625,USA300HOU_RS08390,KEGG_ko,-
1635,USA300HOU_RS08440,KEGG_ko,-
1642,USA300HOU_RS08480,KEGG_ko,-
1644,USA300HOU_RS08490,KEGG_ko,-
1652,USA300HOU_RS08540,KEGG_ko,-
1653,USA300HOU_RS08545,KEGG_ko,-
1664,USA300HOU_RS08600,KEGG_ko,-
1666,USA300HOU_RS08610,KEGG_ko,-
1669,USA300HOU_RS08625,KEGG_ko,-
1672,USA300HOU_RS08640,KEGG_ko,-
1673,USA300HOU_RS08650,KEGG_ko,-
1698,USA300HOU_RS08780,KEGG_ko,-
1699,USA300HOU_RS15345,KEGG_ko,-
1700,USA300HOU_RS08785,KEGG_ko,-
