Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX078104	DRR084273	2019-01-18 13:27:39	2019-01-18 13:38:21	22855636	822802896	0	36	663		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084273/DRR084273.1	15_MW2_F-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086073	SAMD00073687	simple	1280	Staphylococcus aureus	SAMD00073687							no					UT_GSPS	DRA005494		public	6FAE4A71E4B162F18481A0196735AB58	A7705D907CD81FB1B981564677697BD7		
DRX078105	DRR084274	2019-01-18 13:27:39	2019-01-18 13:36:59	38377731	1381598316	0	36	1115		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084274/DRR084274.1	16_USA300-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086074	SAMD00073688	simple	1280	Staphylococcus aureus	SAMD00073688							no					UT_GSPS	DRA005494		public	090C5E8A9D9F170EB0CB798ACB538FC8	FA8C9DF9BE6A735E33205A99A4EA81EE		
DRX078106	DRR084275	2019-01-18 13:27:39	2019-01-18 13:35:43	16691066	600878376	0	36	483		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084275/DRR084275.1	17_USA300_F-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086075	SAMD00073689	simple	1280	Staphylococcus aureus	SAMD00073689							no					UT_GSPS	DRA005494		public	B089D4AFA855A7378F0FF3C247A1CEC1	1398EAFE25E0BD16185A0205EAA4FACB		
DRX078107	DRR084276	2019-01-18 13:27:39	2019-01-18 13:36:13	20193736	726974496	0	36	585		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084276/DRR084276.1	18_MW2-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086076	SAMD00073690	simple	1280	Staphylococcus aureus	SAMD00073690							no					UT_GSPS	DRA005494		public	9DEE5927609E25828F1AC7A522C139AC	0F2AD4AFB91808337668191808D2730D		
DRX078108	DRR084277	2019-01-18 13:27:39	2019-01-18 13:33:47	21012879	756463644	0	36	504		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084277/DRR084277.1	19_MW2_F-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086077	SAMD00073691	simple	1280	Staphylococcus aureus	SAMD00073691							no					UT_GSPS	DRA005494		public	4C26F6F8E6CC8B730F7A9C5CEA80DEF6	70107DE20BE11FA6D1E3927A7073199D		
DRX078109	DRR084278	2019-01-18 13:27:39	2019-01-18 13:36:46	16163409	581882724	0	36	387		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084278/DRR084278.1	20_USA300-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086078	SAMD00073692	simple	1280	Staphylococcus aureus	SAMD00073692							no					UT_GSPS	DRA005494		public	19311E515F8855DB404ED527DD549FA5	76B41ABB0581095A5AF5AB463B4F2527		
DRX078110	DRR084279	2019-01-18 13:27:39	2019-01-18 13:37:54	20067164	722417904	0	36	512		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084279/DRR084279.1	21_USA300_F-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086079	SAMD00073693	simple	1280	Staphylococcus aureus	SAMD00073693							no					UT_GSPS	DRA005494		public	5DE88B41BF41B2F24FBBC258DD46CF29	27C89ED32612B4BA7C0BA500AB6AB8C1		
DRX078111	DRR084280	2019-01-18 13:27:39	2019-01-18 13:37:31	18674602	672285672	0	36	474		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084280/DRR084280.1	22_plnt-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086080	SAMD00073694	simple	1280	Staphylococcus aureus	SAMD00073694							no					UT_GSPS	DRA005494		public	B25B2FE3DF6B88B72A86DF92701B2082	3F5BEEBAF855B2B5B64FF532EF55B7FE		
DRX078112	DRR084281	2019-01-18 13:27:39	2019-01-18 13:34:45	20630770	742707720	0	36	527		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084281/DRR084281.1	23_plntF-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086081	SAMD00073695	simple	1280	Staphylococcus aureus	SAMD00073695							no					UT_GSPS	DRA005494		public	B5FA50F07FF7506CC4237F48BA478620	6B844935591628161EC3C2A8A3D8F581		
DRX078113	DRR084282	2019-01-18 13:27:39	2019-01-18 13:35:51	17059303	614134908	0	36	432		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084282/DRR084282.1	24_pND50-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086082	SAMD00073696	simple	1280	Staphylococcus aureus	SAMD00073696							no					UT_GSPS	DRA005494		public	0AC45622D415A8DF88EEF859F51B0F91	A3E7EAEDBD20450910C955393E47FA99		
DRX078114	DRR084283	2019-01-18 13:27:39	2019-01-18 13:36:49	21911248	788804928	0	36	557		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084283/DRR084283.1	25_pF-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086083	SAMD00073697	simple	1280	Staphylococcus aureus	SAMD00073697							no					UT_GSPS	DRA005494		public	8FC76B977AA6A30E0CE586AE3855BBF0	CB3AD61A15E4A5CE93302026E1EE17B0		
DRX078115	DRR084284	2019-01-18 13:27:39	2019-01-18 13:32:50	27859357	1002936852	0	36	711		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084284/DRR084284.1	26_pC1-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086084	SAMD00073698	simple	1280	Staphylococcus aureus	SAMD00073698							no					UT_GSPS	DRA005494		public	157397775637525FDD73A87D7B318727	19ED05B927AC0E694BF46A6B41755FD1		
DRX078116	DRR084285	2019-01-18 13:27:39	2019-01-18 13:36:38	22991461	827692596	0	36	584		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084285/DRR084285.1	27_pM1-1-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086085	SAMD00073699	simple	1280	Staphylococcus aureus	SAMD00073699							no					UT_GSPS	DRA005494		public	314F272A71F6CEA69B16EC3F9034B4A3	D09D9FED5A61757B1BDA96A88DAC5F9B		
DRX078117	DRR084286	2019-01-18 13:27:39	2019-01-18 13:37:57	39708891	1429520076	0	36	1007		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084286/DRR084286.1	28_plnt-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086086	SAMD00073700	simple	1280	Staphylococcus aureus	SAMD00073700							no					UT_GSPS	DRA005494		public	259E24CA68D4456C7281EC019ACC6B06	9BC4E7FC4D78BBE6E9FD0E829F667741		
DRX078118	DRR084287	2019-01-18 13:27:39	2019-01-18 13:36:38	21728079	782210844	0	36	551		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084287/DRR084287.1	29_plntF-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086087	SAMD00073701	simple	1280	Staphylococcus aureus	SAMD00073701							no					UT_GSPS	DRA005494		public	31E8968B6638A0CD53424B2F5B874789	212AB9EC6678E931EE3650D5C041BA73		
DRX078119	DRR084288	2019-01-18 13:27:39	2019-01-18 13:37:09	25414403	914918508	0	36	646		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084288/DRR084288.1	30_pND50-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086088	SAMD00073702	simple	1280	Staphylococcus aureus	SAMD00073702							no					UT_GSPS	DRA005494		public	3907E6DCF545623412027C955D5A0B32	155C9F021E0B8EE5AA2E62879B5EE817		
DRX078120	DRR084289	2019-01-18 13:27:39	2019-01-18 13:31:52	23084304	831034944	0	36	573		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084289/DRR084289.1	31_pF-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086089	SAMD00073703	simple	1280	Staphylococcus aureus	SAMD00073703							no					UT_GSPS	DRA005494		public	48596ACA39C1C992DB0099F290A9AEA4	DA112201135299D0BA6086FC626CE907		
DRX078121	DRR084290	2019-01-18 13:27:39	2019-01-18 13:36:14	22554320	811955520	0	36	557		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084290/DRR084290.1	32_pC1-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086090	SAMD00073704	simple	1280	Staphylococcus aureus	SAMD00073704							no					UT_GSPS	DRA005494		public	D25CBA95DCBE68908EECA67F4114AA3D	8CAB79BBA5D68917EA1D97C2DA080892		
DRX078122	DRR084291	2019-01-18 13:27:39	2019-01-18 13:35:50	31895954	1148254344	0	36	787		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084291/DRR084291.1	33_pM1-2-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086091	SAMD00073705	simple	1280	Staphylococcus aureus	SAMD00073705							no					UT_GSPS	DRA005494		public	69F9068C4B3D0B0A957AC2CDFAE6A1B7	29F81331561D0243E0E9E98AA2C96DC3		
DRX078123	DRR084292	2019-01-18 13:27:39	2019-01-18 13:38:08	22173227	798236172	0	36	545		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084292/DRR084292.1	34_plnt-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086092	SAMD00073706	simple	1280	Staphylococcus aureus	SAMD00073706							no					UT_GSPS	DRA005494		public	E1883406CD7B3A3C31FE75AA301E1D87	563D293630933E11E71B6B851EDD486C		
DRX078124	DRR084293	2019-01-18 13:27:39	2019-01-18 13:32:49	24628208	886615488	0	36	602		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084293/DRR084293.1	35_plntF-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086093	SAMD00073707	simple	1280	Staphylococcus aureus	SAMD00073707							no					UT_GSPS	DRA005494		public	108BF0604F6FAE585E0D152037CAC29C	51FE93001AE844B1CB3F2A629458F3C0		
DRX078125	DRR084294	2019-01-18 13:27:39	2019-01-18 13:36:14	22823313	821639268	0	36	563		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084294/DRR084294.1	36_pND50-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086094	SAMD00073708	simple	1280	Staphylococcus aureus	SAMD00073708							no					UT_GSPS	DRA005494		public	1471E7474F6FAA92331CDCDEAC9F9514	534B9398FCE91DE9024871B2019D2667		
DRX078126	DRR084295	2019-01-18 13:27:39	2019-01-18 13:36:32	18774774	675891864	0	36	464		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084295/DRR084295.1	37_pF-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086095	SAMD00073709	simple	1280	Staphylococcus aureus	SAMD00073709							no					UT_GSPS	DRA005494		public	DD379B41B1F0C752F49CB67636E96729	82239D3BC328965A100D0EA2909B7EA9		
DRX078127	DRR084296	2019-01-18 13:27:39	2019-01-18 13:38:08	19668841	708078276	0	36	480		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/DRR084296/DRR084296.1	38_pC1-3-RNAseq	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	DRP004744	PRJDB5480		515997	DRS086096	SAMD00073710	simple	1280	Staphylococcus aureus	SAMD00073710							no					UT_GSPS	DRA005494		public	9E2476EDA4BB47E1644A14D910370662	374DDBC54F94D521C0D87BA602AFD18B		
