	BioProject	BioSample	Body_Site	project	base_media	condition	growth_phase	isolate	reference_condition	skip	OD-600	Genetic Changes; Name	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
Muc_23	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187123_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-24hrs.								
Muc_24	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-24hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187124_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-24hrs.								
Muc_3	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187103_NA_sequence.fastq.gz		False			True	True		True		Control-6hrs.								
Muc_4	Effect of Mucin			 mucin	TSB + 0.4%glucose	Control-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187104_NA_sequence.fastq.gz		False			True	True		True		Control-6hrs.								
Muc_5	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187105_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-6hrs.								
Muc_6	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187106_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-6hrs.								
Muc_7	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187107_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-6hrs.								
Muc_8	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5ac-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187108_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5ac-6hrs.								
Muc_9	Effect of Mucin			 mucin	TSB + 0.4%glucose	0.1% Muc5b-6hrs.	Stationary	LAC	Control-6hrs.			WT				SINGLE																				s3://sbrg-user-data/sapoudel/RibbeckLab/Ribbeck_Saureus/fastq/200701Rib_D20-187109_NA_sequence.fastq.gz		False			True	True		True		0.1% Muc5b-6hrs.								
Metab_1	Metabolism			central metabolism	TSB	Control	Exponential	JE2	Control			WT				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_37_R1_S64_L001_R2_001.fastq.gz	True	Control		True	True		True			central-metab							
Metab_10	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ccpA::bursa; NE1670				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_24_R2_S51_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_11	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ccpA::bursa; NE1670				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_31_GR1_S58_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose		True	True		True			central-metab							
Metab_12	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ccpA::bursa; NE1670				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_32_GR2_S59_L001_R2_001.fastq.gz	True	ccpA-2gLGlucose		True	True		True			central-metab							
Metab_13	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			codY::bursa; NE1555				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_25_R1_S52_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_14	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			codY::bursa; NE1555				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_26_R2_S53_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_15	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			codY::bursa; NE1555				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_33_R1_S60_L001_R2_001.fastq.gz	True	codY-2gLGlucose		True	True		True			central-metab							
Metab_16	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			codY::bursa; NE1555				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_34_R2_S61_L001_R2_001.fastq.gz	True	codY-2gLGlucose		True	True		True			central-metab							
Metab_17	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ilvA::bursa; NE340				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_27_R1_S54_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_18	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ilvA::bursa; NE340				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_28_R2_S55_L002_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_19	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ilvA::bursa; NE340				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_35_R1_S62_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose		True	True		True			central-metab							
Metab_2	Metabolism			central metabolism	TSB	Control	Exponential	JE2	Control			WT				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1555_SP_38_R2_S65_L001_R2_001.fastq.gz	True	Control		True	True		True			central-metab							
Metab_20	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ilvA::bursa; NE340				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_36_R2_S63_L001_R2_001.fastq.gz	True	ilvA-2gLGlucose		True	True		True			central-metab							
Metab_3	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			WT				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_39_R1_S66_L001_R2_001.fastq.gz	True	2gLGlucose		True	True		True			central-metab							
Metab_4	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			WT				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE340_SP_40_R2_S67_L001_R2_001.fastq.gz	True	2gLGlucose		True	True		True			central-metab							
Metab_5	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ilvd::bursa; NE718				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_21_R1_S48_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_6	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ilvd::bursa; NE718				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_22_R2_S49_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
Metab_7	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ilvd::bursa; NE718				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_29_GR1_S56_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose		True	True		True			central-metab							
Metab_8	Metabolism			central metabolism	TSB	2g/L glucose	Exponential	JE2	Control			ilvd::bursa; NE718				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE718_SP_30_GR2_S57_L001_R2_001.fastq.gz	True	ilvD-2gLGlucose		True	True		True			central-metab							
Metab_9	Metabolism			central metabolism	TSB	Mutant	Exponential	JE2	Control			ccpA::bursa; NE1670				PAIRED						ILLUMINA											Staphylococcus aureus			s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R1_001.fastq.gz	s3://sbrg-sequencing-files/2021-06-13-IGM-NovaSeq/UO1_HRS_NE1670_SP_23_R1_S50_L001_R2_001.fastq.gz	True	Mutant		True	True		True			central-metab							
DRX078101	PRJDB5480	SAMD00073684		psm-mec	Unknown	Control		Unknown	Control			WT	No isolate information; Functional analysis of psm-mec	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		515997	1/18/2019 13:27	DRR084271	DRP004744	DRS086071	Staphylococcus aureus	DRA005494	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
DRX078102	PRJDB5480	SAMD00073685		psm-mec	Unknown	Mutant		Unknown	Control			delta-mec	No isolate information; Functional analysis of psm-mec	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		515997	1/18/2019 13:27	DRR084270	DRP004744	DRS086070	Staphylococcus aureus	DRA005494	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
DRX078105	PRJDB5480	SAMD00073688		psm-mec	Unknown	Control		Unknown	Control			WT	No isolate information; Functional analysis of psm-mec	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		515997	1/18/2019 13:27	DRR084274	DRP004744	DRS086074	Staphylococcus aureus	DRA005494	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
DRX078106	PRJDB5480	SAMD00073688		psm-mec	Unknown	Mutant		Unknown	Control			delta-mec	No isolate information; Functional analysis of psm-mec	0	0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		515997	1/18/2019 13:27	DRR084274	DRP004744	DRS086074	Staphylococcus aureus	DRA005494	1280	91061	Staphylococcus aureus	1280	1280						True	True		True										
ERX2284917	PRJEB23980	SAMEA104450491		3abx treatment	TSB	0.25 ug/mL Linezolid	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231575	ERP105769	ERS2068433	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284918	PRJEB23980	SAMEA104450492		3abx treatment	TSB	0.25 ug/mL Linezolid	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231576	ERP105769	ERS2068434	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284921	PRJEB23980	SAMEA104450495		3abx treatment	TSB	0.5 ug/mL Vancomycin	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231579	ERP105769	ERS2068437	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284922	PRJEB23980	SAMEA104450496		3abx treatment	TSB	0.5 ug/mL Vancomycin	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231580	ERP105769	ERS2068438	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284919	PRJEB23980	SAMEA104450493		3abx treatment	TSB	2.5 ug/mL Nafcillin	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231577	ERP105769	ERS2068435	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284920	PRJEB23980	SAMEA104450494		3abx treatment	TSB	2.5 ug/mL Nafcillin	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231578	ERP105769	ERS2068436	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284915	PRJEB23980	SAMEA104450489		3abx treatment	TSB	Control	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231573	ERP105769	ERS2068431	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX2284916	PRJEB23980	SAMEA104450490		3abx treatment	TSB	Control	Exponential	TCH1516	Control		0.8	WT	BK's Data	0	300	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		435090	2/5/2018 7:42	ERR2231574	ERP105769	ERS2068432	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516	91061	Staphylococcus aureus	1280	451516						True	True		True										
ERX5228512	PRJEB43496	SAMEA8227703		H2O2 Treatment	TSB	20mM H2O2	Exponential	JE2	Control			WT		0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443885	ERP127468	ERS5914274	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GENEVA UNIVERSITY HOSPITALS		13673561	18302727			
ERX5228513	PRJEB43496	SAMEA8227704		H2O2 Treatment	TSB	20mM H2O2	Exponential	JE2	Control			WT		0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443886	ERP127468	ERS5914275	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GENEVA UNIVERSITY HOSPITALS		13673562	18305878			
ERX5228514	PRJEB43496	SAMEA8227705		H2O2 Treatment	TSB	20mM H2O2	Exponential	JE2	Control			WT		0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443887	ERP127468	ERS5914276	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GENEVA UNIVERSITY HOSPITALS		13673563	18302729			
ERX5228516	PRJEB43496	SAMEA8227707		H2O2 Treatment	TSB	Control	Exponential	JE2	Control			WT		0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443889	ERP127468	ERS5914278	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GENEVA UNIVERSITY HOSPITALS		13673565	18302734			
ERX5228517	PRJEB43496	SAMEA8227708		H2O2 Treatment	TSB	Control	Exponential	JE2	Control			WT		0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA	H2O2	714042	3/17/2021 19:06	ERR5443890	ERP127468	ERS5914279	Staphylococcus aureus	ERA3564958	1280	91061	Staphylococcus aureus	1280	1280						True	True		True				GENEVA UNIVERSITY HOSPITALS		13677312	18302733			
