	BioProject	BioSample	Body_Site	Replicate	Title	Media	Condition	Growth Phase	Isolate	Growth Rate	OD-600	Genetic Changes; Name	NOTES	Reference	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Unnamed: 23	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	reference_condition	CenterName	ReferenceGenome	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID
SRX9634018	PRJNA682641	SAMN17004722			S. aureus Biofilm Foramation	BHI	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200536	SRP295997	SRS7834143	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
SRX9634019	PRJNA682641	SAMN17004721			S. aureus Biofilm Foramation	BHI	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200537	SRP295997	SRS7834144	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	False		False												
SRX9634020	PRJNA682641	SAMN17004720			S. aureus Biofilm Foramation	BHI	Biofilm	Biofilm	USA300			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq			NextSeq 500	ILLUMINA		682641.0	2020-12-07 12:24:35	SRR13200538	SRP295997	SRS7834145	Staphylococcus aureus	SRA1167130	91061.0	91061.0	Staphylococcus aureus	1280.0	1280.0			False			True	True		True												
DRX078101	PRJDB5480	SAMD00073684		1.0	Functional analysis of psm-mec				Unknown			WT	No isolate information; Functional analysis of psm-mec	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		515997.0	1/18/2019 13:27	DRR084271	DRP004744	DRS086071	Staphylococcus aureus	DRA005494	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
DRX078102	PRJDB5480	SAMD00073685		1.0	Functional analysis of psm-mec				Unknown			delta-mec	No isolate information; Functional analysis of psm-mec	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		515997.0	1/18/2019 13:27	DRR084270	DRP004744	DRS086070	Staphylococcus aureus	DRA005494	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
DRX078105	PRJDB5480	SAMD00073688		2.0	Functional analysis of psm-mec				Unknown			WT	No isolate information; Functional analysis of psm-mec	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		515997.0	1/18/2019 13:27	DRR084274	DRP004744	DRS086074	Staphylococcus aureus	DRA005494	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
DRX078106	PRJDB5480	SAMD00073688		2.0	Functional analysis of psm-mec				Unknown			delta-mec	No isolate information; Functional analysis of psm-mec	TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 2500	ILLUMINA		515997.0	1/18/2019 13:27	DRR084274	DRP004744	DRS086074	Staphylococcus aureus	DRA005494	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						True	True		True												
ERX2002472	PRJEB20495	SAMEA103983213		1.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	Control	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	174.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941939	ERP022652	ERS1672381	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002473	PRJEB20495	SAMEA103983214		2.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	Control	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	189.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941940	ERP022652	ERS1672382	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002474	PRJEB20495	SAMEA103983215		3.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	Control	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	178.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941941	ERP022652	ERS1672383	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002475	PRJEB20495	SAMEA103983216		1.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	150uM NaOCl	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	177.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941942	ERP022652	ERS1672384	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002476	PRJEB20495	SAMEA103983217		2.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	150uM NaOCl	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	176.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941943	ERP022652	ERS1672385	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002477	PRJEB20495	SAMEA103983218		3.0	The global effect of hypochlorite stress on the changes in the transcriptome	LB	150uM NaOCl	Exponential	TCH1516			WT	Hypochlorite Stress	TCH1516	50.0	182.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		423218.0	12/19/2017 7:27	ERR1941944	ERP022652	ERS1672386	Staphylococcus aureus subsp. aureus USA300	ERA886813	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002506	PRJEB20496	SAMEA103983247		1.0	The global effect of the garlic compound Allicin	LB	300uM Allicin	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	169.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941973	ERP022653	ERS1672415	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002507	PRJEB20496	SAMEA103983248		2.0	The global effect of the garlic compound Allicin	LB	300uM Allicin	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	171.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941974	ERP022653	ERS1672416	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002508	PRJEB20496	SAMEA103983249		3.0	The global effect of the garlic compound Allicin	LB	300uM Allicin	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	168.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941975	ERP022653	ERS1672417	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002509	PRJEB20496	SAMEA103983250		1.0	The global effect of the garlic compound Allicin	LB	Control	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	186.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941976	ERP022653	ERS1672418	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002510	PRJEB20496	SAMEA103983251		2.0	The global effect of the garlic compound Allicin	LB	Control	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	180.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941977	ERP022653	ERS1672419	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2002511	PRJEB20496	SAMEA103983252		3.0	The global effect of the garlic compound Allicin	LB	Control	Exponential	TCH1516			WT	Allicin Exposure	TCH1516	50.0	183.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		530426.0	4/2/2019 8:08	ERR1941978	ERP022653	ERS1672420	Staphylococcus aureus subsp. aureus USA300	ERA886816	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2284900	PRJEB23980	SAMEA104450344		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	Control	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231558	ERP105769	ERS2068286	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284901	PRJEB23980	SAMEA104450345		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	Control + TAP	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231559	ERP105769	ERS2068287	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284902	PRJEB23980	SAMEA104450346		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.25 ug/mL Linezolid	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231560	ERP105769	ERS2068288	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284903	PRJEB23980	SAMEA104450347		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.25 ug/mL Linezolid + TAP	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231561	ERP105769	ERS2068289	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284904	PRJEB23980	SAMEA104450348		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	2.5 ug/mL Nafcillin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231562	ERP105769	ERS2068290	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284905	PRJEB23980	SAMEA104450349		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	2.5 ug/mL Nafcillin + Tap	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231563	ERP105769	ERS2068291	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284906	PRJEB23980	SAMEA104450350		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.5 ug/mL Vancomycin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231564	ERP105769	ERS2068292	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284907	PRJEB23980	SAMEA104450351		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.5 ug/mL Vancomycin + TAP	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	600.0	PAIRED	PCR	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231565	ERP105769	ERS2068293	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168341	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	False		False												
ERX2284915	PRJEB23980	SAMEA104450489		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	Control	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231573	ERP105769	ERS2068431	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284916	PRJEB23980	SAMEA104450490		2.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	Control	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231574	ERP105769	ERS2068432	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284917	PRJEB23980	SAMEA104450491		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.25 ug/mL Linezolid	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231575	ERP105769	ERS2068433	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284918	PRJEB23980	SAMEA104450492		2.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.25 ug/mL Linezolid	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231576	ERP105769	ERS2068434	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284919	PRJEB23980	SAMEA104450493		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	2.5 ug/mL Nafcillin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231577	ERP105769	ERS2068435	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284920	PRJEB23980	SAMEA104450494		2.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	2.5 ug/mL Nafcillin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231578	ERP105769	ERS2068436	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284921	PRJEB23980	SAMEA104450495		1.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.5 ug/mL Vancomycin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231579	ERP105769	ERS2068437	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2284922	PRJEB23980	SAMEA104450496		2.0	Genome-scale analysis of Methicillin-resistant Staphylococcus aureus USA300	TSB	0.5 ug/mL Vancomycin	Exponential	TCH1516		0.8	WT	BK's Data	TCH1516	0.0	300.0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina MiSeq	ILLUMINA		435090.0	2/5/2018 7:42	ERR2231580	ERP105769	ERS2068438	Staphylococcus aureus subsp. aureus USA300_TCH1516	ERA1168354	451516.0	91061.0	Staphylococcus aureus	1280.0	451516.0						True	True		True												
ERX2727189	PRJEB27926	SAMEA4803067		1.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	4.5ug/mL AgXX	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713020	ERP110062	ERS2622981	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2727190	PRJEB27926	SAMEA4803068		2.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	4.5ug/mL AgXX	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713021	ERP110062	ERS2622982	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2727191	PRJEB27926	SAMEA4803069		3.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	4.5ug/mL AgXX	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713022	ERP110062	ERS2622983	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2727192	PRJEB27926	SAMEA4803070		1.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	Control	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713023	ERP110062	ERS2622984	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2727193	PRJEB27926	SAMEA4803071		2.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	Control	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713024	ERP110062	ERS2622985	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
ERX2727194	PRJEB27926	SAMEA4803072		3.0	Staphylococcus aureus treated with the antimicrobial coating AgXX 	RPMI	Control	Exponential	TCH1516			WT		TCH1516	100.0	250.0	PAIRED	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300		Illumina HiSeq 1500	ILLUMINA		552834.0	7/5/2019 7:37	ERR2713025	ERP110062	ERS2622986	Staphylococcus aureus subsp. aureus USA300	ERA1551391	367830.0	91061.0	Staphylococcus aureus	1280.0	367830.0						False	False		True												
SRX1427735	PRJNA301968	SAMN04262024		1.0	Global Transcriptomic Analysis of Regulatory or Small RNA	TSB	Control	Exponential	TCH1516			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Ion Torrent PGM	ION_TORRENT		301968.0	1/6/2016 15:53	SRR2920437	SRP066096	SRS1159136	Staphylococcus aureus	SRA311045	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						False	False		False												
SRX1427738	PRJNA301968	SAMN04262027		1.0	Global Transcriptomic Analysis of Regulatory or Small RNA	Human_serum	Exponenetial	Exponential	TCH1516			WT		TCH1516	0.0	0.0	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300		Ion Torrent PGM	ION_TORRENT		301968.0	1/6/2016 15:53	SRR2920434	SRP066096	SRS1159139	Staphylococcus aureus	SRA311045	1280.0	91061.0	Staphylococcus aureus	1280.0	1280.0						False	False		False												
