locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
USA300HOU_RS00185,USA300HOU_RS00185,NC_010079.1,USA300HOU_0036,44622,44933,-,DUF960 domain-containing protein,"Replication, recombination and repair",A0A060PLE8,Op22
USA300HOU_RS00190,USA300HOU_RS00190,NC_010079.1,USA300HOU_0038,45020,45370,-,hypothetical protein,Function unknown,A0A060PNX9,Op23
USA300HOU_RS00195,USA300HOU_RS00195,NC_010079.1,USA300HOU_0039,45892,47520,-,recombinase family protein,"Replication, recombination and repair",A0A060PVW3,Op24
USA300HOU_RS00200,USA300HOU_RS00200,NC_010079.1,USA300HOU_0040,47542,48891,-,recombinase family protein,"Replication, recombination and repair",A0A0H2XI73,Op24
USA300HOU_RS00205,USA300HOU_RS00205,NC_010079.1,USA300HOU_0041,49125,50912,-,DUF927 domain-containing protein,"Replication, recombination and repair",A0A0H2XHF3,Op25
USA300HOU_RS00210,USA300HOU_RS00210,NC_010079.1,USA300HOU_0042,50912,51202,-,hypothetical protein,Function unknown,A0A0H2XEW0,Op25
USA300HOU_RS00215,USA300HOU_RS00215,NC_010079.1,USA300HOU_0043,51341,52390,+,hypothetical protein,No COG annotation,A0A0H3JUS9,Op26
USA300HOU_RS00220,USA300HOU_RS00220,NC_010079.1,USA300HOU_0044,53063,54553,+,ATPase AAA,Transcription,A0A0H2XH92,Op27
USA300HOU_RS00230,cstB,NC_010079.1,,54926,56244,-,persulfide dioxygenase-sulfurtransferase CstB,Inorganic ion transport and metabolism,,Op28
USA300HOU_RS15885,USA300HOU_RS15885,NC_010079.1,USA300HOU_0046,56300,56437,+,hypothetical protein,No COG annotation,UPI00015FD6DE,Op29
USA300HOU_RS00235,USA300HOU_RS00235,NC_010079.1,USA300HOU_0047,56434,56805,+,HNH endonuclease,"Replication, recombination and repair",A0A0H2XIJ6,Op30
USA300HOU_RS00240,USA300HOU_RS00240,NC_010079.1,USA300HOU_0048,56934,57554,+,hypothetical protein,No COG annotation,A0A0H2XF21,Op31
USA300HOU_RS14925,USA300HOU_RS14925,NC_010079.1,,58074,58262,-,hypothetical protein,No COG annotation,,Op32
USA300HOU_RS15890,USA300HOU_RS15890,NC_010079.1,USA300HOU_0049,58471,58641,-,hypothetical protein,No COG annotation,UPI00015FD6DF,Op33
USA300HOU_RS00245,USA300HOU_RS00245,NC_010079.1,USA300HOU_0050,59043,60008,+,HNH endonuclease,Defense mechanisms,A0A0H2XJN9,Op34
USA300HOU_RS00250,USA300HOU_RS00250,NC_010079.1,USA300HOU_0051,60105,60296,+,hypothetical protein,No COG annotation,A0A0H2XHL8,Op35
USA300HOU_RS00255,USA300HOU_RS00255,NC_010079.1,USA300HOU_0052,60388,60717,+,hypothetical protein,No COG annotation,A0A0H2XG32,Op36
USA300HOU_RS00260,USA300HOU_RS00260,NC_010079.1,USA300HOU_0053,60794,61153,-,hypothetical protein,No COG annotation,A0A169SZC0,Op37
USA300HOU_RS15675,USA300HOU_RS15675,NC_010079.1,,61683,61763,-,hypothetical protein,No COG annotation,UPI000A327884,Op38
USA300HOU_RS00265,USA300HOU_RS00265,NC_010079.1,USA300HOU_0055,61724,62533,-,IS3 family transposase,"Replication, recombination and repair",A0A3G1RML2,Op39
USA300HOU_RS00270,USA300HOU_RS00270,NC_010079.1,USA300HOU_0057,63046,63543,-,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",A0A0H2VEE1,Op40
USA300HOU_RS00275,USA300HOU_RS00275,NC_010079.1,USA300HOU_0059,64041,65168,+,alcohol dehydrogenase catalytic domain-containing protein,Energy production and conversion,A0A169SZM3,Op41
USA300HOU_RS00280,USA300HOU_RS00280,NC_010079.1,USA300HOU_0060,65423,65647,-,hypothetical protein,No COG annotation,A0A161JQX9,Op42
USA300HOU_RS00285,USA300HOU_RS00285,NC_010079.1,USA300HOU_0061,65661,66164,-,DUF1643 domain-containing protein,Defense mechanisms,A0A0H2XIG0,Op42
USA300HOU_RS00290,USA300HOU_RS00290,NC_010079.1,USA300HOU_0062,66180,66491,-,hypothetical protein,"Replication, recombination and repair",A0A0H2XH80,Op42
USA300HOU_RS00295,USA300HOU_RS00295,NC_010079.1,USA300HOU_0064,66578,66928,-,hypothetical protein,Function unknown,A0A0H2XJ66,Op43
USA300HOU_RS14935,USA300HOU_RS14935,NC_010079.1,,67535,67749,-,M15 family metallopeptidase,Cell wall/membrane/envelope biogenesis,,Op44
USA300HOU_RS00300,USA300HOU_RS00300,NC_010079.1,,67736,68736,+,IS3 family transposase,"Replication, recombination and repair",,Op45
USA300HOU_RS00305,arcC,NC_010079.1,USA300HOU_0066,68836,69765,-,carbamate kinase,Amino acid transport and metabolism,Q2FKJ8,Op46
USA300HOU_RS00310,argF,NC_010079.1,USA300HOU_0067,69785,70783,-,ornithine carbamoyltransferase,Amino acid transport and metabolism,A0A0H2XIR5,Op46
USA300HOU_RS00315,USA300HOU_RS00315,NC_010079.1,USA300HOU_0068,70821,71510,-,Crp/Fnr family transcriptional regulator,Signal transduction mechanisms,A0A0H2XFE2,Op46
USA300HOU_RS00320,arcD,NC_010079.1,USA300HOU_0069,71552,72973,-,arginine-ornithine antiporter,Amino acid transport and metabolism,A0A0H2VEL5,Op47
USA300HOU_RS00325,arcA,NC_010079.1,USA300HOU_0070,73059,74294,-,arginine deiminase,Amino acid transport and metabolism,A0A0H2XGY3,Op48
USA300HOU_RS00330,USA300HOU_RS00330,NC_010079.1,USA300HOU_0071,74563,75009,-,ArgR family transcriptional regulator,Transcription,A0A0H2XKJ2,Op49
USA300HOU_RS00335,USA300HOU_RS00335,NC_010079.1,USA300HOU_0072,75511,75942,+,universal stress protein,Signal transduction mechanisms,A0A0H2VE45,Op50
USA300HOU_RS14940,USA300HOU_RS14940,NC_010079.1,USA300HOU_0073,76019,76171,-,hypothetical protein,Inorganic ion transport and metabolism,A0A3A0RYE3,Op51
USA300HOU_RS14945,USA300HOU_RS14945,NC_010079.1,,76215,76888,+,IS6 family transposase,"Replication, recombination and repair",,Op52
USA300HOU_RS00350,USA300HOU_RS00350,NC_010079.1,USA300HOU_0075,77076,77891,+,alpha/beta hydrolase,Lipid transport and metabolism,A0A0H2XHZ1,Op53
USA300HOU_RS00355,USA300HOU_RS00355,NC_010079.1,USA300HOU_0076,78213,79391,+,IS110 family transposase,"Replication, recombination and repair",UPI000CF61B05,Op54
USA300HOU_RS00360,USA300HOU_RS00360,NC_010079.1,USA300HOU_0077,79651,80343,+,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A3G1RMQ0,Op55
USA300HOU_RS00365,USA300HOU_RS00365,NC_010079.1,USA300HOU_0078,80340,81893,+,nickel ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0H2XIR7,Op55
USA300HOU_RS00370,USA300HOU_RS00370,NC_010079.1,USA300HOU_0079,81896,82852,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A0H2XGH1,Op55
USA300HOU_RS00375,USA300HOU_RS00375,NC_010079.1,USA300HOU_0080,82852,83619,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A0H2XGJ4,Op55
USA300HOU_RS00380,USA300HOU_RS00380,NC_010079.1,USA300HOU_0081,83586,84353,+,ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A0H2XE30,Op55
USA300HOU_RS00385,USA300HOU_RS00385,NC_010079.1,USA300HOU_0082,84346,84981,+,ATP-binding cassette domain-containing protein,Amino acid transport and metabolism,A0A0H2XIH8,Op55
USA300HOU_RS00390,USA300HOU_RS00390,NC_010079.1,USA300HOU_0084,86001,88064,+,copper-translocating P-type ATPase,Inorganic ion transport and metabolism,A0A6K1YU31,Op56
USA300HOU_RS00395,USA300HOU_RS00395,NC_010079.1,USA300HOU_0085,88082,88627,+,DUF1541 domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0H2XFS1,Op56
USA300HOU_RS00400,USA300HOU_RS00400,NC_010079.1,,89055,89189,-,hypothetical protein,No COG annotation,A0A133QBS3,Op57
USA300HOU_RS00405,USA300HOU_RS00405,NC_010079.1,,89153,89245,+,hypothetical protein,No COG annotation,A0A0H2WZT9,Op58
USA300HOU_RS00410,USA300HOU_RS00410,NC_010079.1,,89392,91139,+,TIGR04141 family sporadically distributed protein,No COG annotation,,Op59
USA300HOU_RS00415,USA300HOU_RS00415,NC_010079.1,USA300HOU_0088,91233,91685,-,tRNA-dihydrouridine synthase,"Translation, ribosomal structure and biogenesis",A0A0H2X0J0,Op60
USA300HOU_RS00420,USA300HOU_RS00420,NC_010079.1,USA300HOU_0089,91701,91802,-,hypothetical protein,No COG annotation,A0A0H2X2F5,Op60
USA300HOU_RS00425,USA300HOU_RS00425,NC_010079.1,USA300HOU_0090,91900,92655,-,sulfite exporter TauE/SafE family protein,Function unknown,A0A0H2X031,Op61
USA300HOU_RS00430,cstR,NC_010079.1,USA300HOU_0091,92655,92915,-,persulfide-sensing transcriptional repressor CstR,Function unknown,A0A0H2X104,Op61
USA300HOU_RS00435,cstA,NC_010079.1,USA300HOU_0092,93052,94119,+,persulfide response sulfurtransferase CstA,"PostXtranslational modification, protein turnover, and chaperones",A0A0H2WZU4,Op62
USA300HOU_RS00440,cstB,NC_010079.1,USA300HOU_0093,94150,95484,+,persulfide dioxygenase-sulfurtransferase CstB,Inorganic ion transport and metabolism,A0A0E1VPA9,Op62
USA300HOU_RS14950,USA300HOU_RS14950,NC_010079.1,,95503,95757,+,NAD(P)/FAD-dependent oxidoreductase,Function unknown,A0A5A8VQC8,Op62
USA300HOU_RS14955,USA300HOU_RS14955,NC_010079.1,,96007,96696,+,NAD(P)/FAD-dependent oxidoreductase,Function unknown,A0A5A8VRH5,Op63
USA300HOU_RS00450,USA300HOU_RS00450,NC_010079.1,USA300HOU_0095,96963,97064,-,universal stress protein,No COG annotation,A0A0H2X036,Op64
USA300HOU_RS00455,USA300HOU_RS00455,NC_010079.1,USA300HOU_0096,97363,98295,-,tRNA-dihydrouridine synthase,"Translation, ribosomal structure and biogenesis",A0A2K4ANS9,Op65
USA300HOU_RS00460,USA300HOU_RS00460,NC_010079.1,USA300HOU_0097,98658,98861,+,hypothetical protein,No COG annotation,A0A0G2LNV1,Op66
USA300HOU_RS00465,USA300HOU_RS00465,NC_010079.1,USA300HOU_0098,98910,99206,+,TfoX/Sxy family protein,Transcription,A0A0H2XHZ2,Op67
USA300HOU_RS00470,USA300HOU_RS00470,NC_010079.1,USA300HOU_0099,99278,100498,-,MFS transporter,Amino acid transport and metabolism,A0A0E8JC85,Op68
USA300HOU_RS00475,USA300HOU_RS00475,NC_010079.1,USA300HOU_0100,100491,100976,-,NAD(P)H-dependent oxidoreductase,Function unknown,A0A0H3K669,Op68
USA300HOU_RS00480,USA300HOU_RS00480,NC_010079.1,USA300HOU_0102,101154,102014,+,LysR family transcriptional regulator,Transcription,A0A0D6GM89,Op69
USA300HOU_RS00485,USA300HOU_RS00485,NC_010079.1,USA300HOU_0103,102369,102902,-,DUF4865 family protein,Function unknown,A0A0H2X119,Op70
USA300HOU_RS00490,USA300HOU_RS00490,NC_010079.1,USA300HOU_0104,102993,103736,+,LysR family transcriptional regulator,Transcription,A0A0H2XGL8,Op71
USA300HOU_RS00495,USA300HOU_RS00495,NC_010079.1,USA300HOU_0105,104170,104772,+,hypothetical protein,No COG annotation,A0A0H2WZR9,Op72
USA300HOU_RS00500,USA300HOU_RS00500,NC_010079.1,USA300HOU_0106,105039,108191,+,ATPase,"Replication, recombination and repair",A0A0H2XJQ0,Op73
USA300HOU_RS00505,USA300HOU_RS00505,NC_010079.1,USA300HOU_0107,108248,108730,+,hypothetical protein,No COG annotation,A0A0D3Q432,Op74
USA300HOU_RS00510,USA300HOU_RS00510,NC_010079.1,USA300HOU_0108,108935,109921,+,phosphatidylinositol-specific phospholipase C,"Intracellular trafficking, secretion, and vesicular transport",A0A0D6GL09,Op75
USA300HOU_RS00515,USA300HOU_RS00515,NC_010079.1,USA300HOU_0109,110142,110912,+,tandem-type lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0H3K5I6,Op76
USA300HOU_RS00520,USA300HOU_RS00520,NC_010079.1,USA300HOU_0110,110964,111734,+,tandem-type lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0H3K621,Op77
USA300HOU_RS00525,USA300HOU_RS00525,NC_010079.1,USA300HOU_0111,111798,112568,+,tandem-type lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0H3K9X0,Op78
USA300HOU_RS00530,USA300HOU_RS00530,NC_010079.1,USA300HOU_0112,112635,113402,+,tandem-type lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0H3K678,Op79
USA300HOU_RS00535,USA300HOU_RS00535,NC_010079.1,USA300HOU_0113,113535,115733,+,helix-turn-helix domain-containing protein,Transcription,A0A2Y9TTI9,Op80
USA300HOU_RS00540,USA300HOU_RS00540,NC_010079.1,USA300HOU_0114,115884,117062,+,amidohydrolase,Amino acid transport and metabolism,A0A0H2WZV8,Op81
USA300HOU_RS00545,USA300HOU_RS00545,NC_010079.1,USA300HOU_0115,117064,118452,+,MFS transporter,Amino acid transport and metabolism,A0A0E7VUI8,Op81
USA300HOU_RS00550,USA300HOU_RS00550,NC_010079.1,USA300HOU_0116,118945,120606,-,Na/Pi cotransporter family protein,Inorganic ion transport and metabolism,A0A0H2X053,Op82
USA300HOU_RS00555,USA300HOU_RS00555,NC_010079.1,USA300HOU_0117,120932,122707,-,oleate hydratase,Function unknown,A0A0D6GJV1,Op83
USA300HOU_RS00560,USA300HOU_RS00560,NC_010079.1,USA300HOU_0118,122881,123753,-,DMT family transporter,Amino acid transport and metabolism,A0A0H2XGB0,Op84
USA300HOU_RS00565,USA300HOU_RS00565,NC_010079.1,USA300HOU_0119,123866,125263,+,PLP-dependent aminotransferase family protein,Transcription,A0A0E7QZN1,Op85
USA300HOU_RS00570,USA300HOU_RS00570,NC_010079.1,USA300HOU_0120,125453,125926,+,DUF1648 domain-containing protein,Function unknown,A0A0D6GLP7,Op86
USA300HOU_RS00575,USA300HOU_RS00575,NC_010079.1,USA300HOU_0121,126188,127780,+,L-lactate permease,Energy production and conversion,A0A0H2X0M7,Op87
USA300HOU_RS00580,spa,NC_010079.1,USA300HOU_0122,128109,129587,-,staphylococcal protein A,Cell wall/membrane/envelope biogenesis,UPI0002C94430,Op88
USA300HOU_RS00585,sarS,NC_010079.1,USA300HOU_0123,130008,130760,-,HTH-type transcriptional regulator SarS,Transcription,A0A0H2XHA2,Op89
USA300HOU_RS00590,sirC,NC_010079.1,USA300HOU_0124,131129,132127,-,staphyloferrin B ABC transporter permease subunit SirC,Inorganic ion transport and metabolism,A0A0H2X141,Op90
USA300HOU_RS00595,sirB,NC_010079.1,USA300HOU_0125,132124,133119,-,staphyloferrin B ABC transporter permease subunit SirB,Inorganic ion transport and metabolism,A0A0H2XE68,Op90
USA300HOU_RS00600,sirA,NC_010079.1,USA300HOU_0126,133135,134127,-,staphyloferrin B ABC transporter substrate-binding protein SirA,Inorganic ion transport and metabolism,A0A0H2WZT1,Op90
USA300HOU_RS00605,sbnA,NC_010079.1,USA300HOU_0127,134358,135338,+,2%2C3-diaminopropionate biosynthesis protein SbnA,Amino acid transport and metabolism,A0A0D1GZ52,Op91
USA300HOU_RS00610,sbnB,NC_010079.1,USA300HOU_0128,135335,136345,+,N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB,Amino acid transport and metabolism,A0A0E0VL56,Op91
USA300HOU_RS00615,sbnC,NC_010079.1,USA300HOU_0129,136366,138120,+,staphyloferrin B biosynthesis protein SbnC,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H2X061,Op91
USA300HOU_RS00620,sbnD,NC_010079.1,USA300HOU_0130,138113,139369,+,staphyloferrin B export MFS transporter,Amino acid transport and metabolism,A0A0H2X147,Op91
USA300HOU_RS00625,sbnE,NC_010079.1,USA300HOU_0131,139359,141095,+,L-2%2C3-diaminopropanoate--citrate ligase SbnE,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H2WZX1,Op91
USA300HOU_RS00630,sbnF,NC_010079.1,USA300HOU_0132,141004,142854,+,3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0H2XG97,Op92
USA300HOU_RS00635,sbnG,NC_010079.1,USA300HOU_0133,142829,143605,+,staphyloferrin B biosynthesis citrate synthase SbnG,Carbohydrate transport and metabolism,A0A0E1VP58,Op93
USA300HOU_RS00640,sbnH,NC_010079.1,USA300HOU_0134,143605,144807,+,staphyloferrin B biosynthesis decarboxylase SbnH,Amino acid transport and metabolism,A0A0H2X066,Op93
USA300HOU_RS00645,sbnI,NC_010079.1,USA300HOU_0135,144811,145575,+,bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI,Transcription,A0A0D1FBC7,Op93
USA300HOU_RS00655,USA300HOU_RS00655,NC_010079.1,USA300HOU_0136,145771,146178,+,hypothetical protein,No COG annotation,A0A0E1VWM6,Op94
USA300HOU_RS00660,USA300HOU_RS00660,NC_010079.1,USA300HOU_0137,146228,146854,+,MFS transporter,No COG annotation,A0A0E7WF08,Op95
USA300HOU_RS00665,USA300HOU_RS00665,NC_010079.1,USA300HOU_0138,147066,147842,+,(S)-acetoin forming diacetyl reductase,Lipid transport and metabolism,A0A0E1XKP8,Op96
USA300HOU_RS00670,USA300HOU_RS00670,NC_010079.1,USA300HOU_0139,147986,148108,+,hypothetical protein,No COG annotation,A0A0E1VP33,Op97
USA300HOU_RS00675,USA300HOU_RS00675,NC_010079.1,USA300HOU_0140,148178,149158,+,NAD-dependent epimerase/dehydratase family protein,Cell wall/membrane/envelope biogenesis,A0A0E1VM06,Op98
USA300HOU_RS00680,USA300HOU_RS00680,NC_010079.1,USA300HOU_0141,149121,149813,+,sugar transferase,Cell wall/membrane/envelope biogenesis,A0A068A5A1,Op98
USA300HOU_RS00685,USA300HOU_RS00685,NC_010079.1,USA300HOU_0142,150023,151189,+,glycosyltransferase family 4 protein,Cell wall/membrane/envelope biogenesis,A0A0H2XHZ0,Op99
USA300HOU_RS00690,USA300HOU_RS00690,NC_010079.1,USA300HOU_0143,151170,152408,+,O-antigen ligase family protein,Cell wall/membrane/envelope biogenesis,A0A0D3Q3M4,Op99
USA300HOU_RS00695,USA300HOU_RS00695,NC_010079.1,USA300HOU_0144,152398,153828,+,lipopolysaccharide biosynthesis protein,Function unknown,A0A0H2X0Q6,Op99
USA300HOU_RS00700,USA300HOU_RS00700,NC_010079.1,USA300HOU_0145,154096,154695,+,superoxide dismutase,Energy production and conversion,A0A0E0VLX1,Op100
USA300HOU_RS00705,sasD,NC_010079.1,USA300HOU_0146,155063,155788,+,cell-wall-anchored protein SasD,No COG annotation,A0A0D6GL01,Op101
USA300HOU_RS00710,USA300HOU_RS00710,NC_010079.1,USA300HOU_0147,155980,156735,-,GntR family transcriptional regulator,Transcription,A0A0E1VWK6,Op102
USA300HOU_RS00720,deoD,NC_010079.1,USA300HOU_0148,156971,157678,+,purine-nucleoside phosphorylase,Nucleotide transport and metabolism,A0A0H2WZZ1,Op103
USA300HOU_RS00725,tet(38),NC_010079.1,USA300HOU_0149,157685,159037,+,tetracycline efflux MFS transporter Tet(38),Amino acid transport and metabolism,A0A0H2WZU9,Op103
USA300HOU_RS00730,deoC,NC_010079.1,USA300HOU_0150,159118,159780,+,deoxyribose-phosphate aldolase,Nucleotide transport and metabolism,A0A0H2XIA2,Op103
USA300HOU_RS00735,deoB,NC_010079.1,USA300HOU_0151,159808,160986,+,phosphopentomutase,Carbohydrate transport and metabolism,A0A0E1VWD3,Op103
USA300HOU_RS00740,phnE,NC_010079.1,USA300HOU_0152,161117,161932,-,phosphonate ABC transporter%2C permease protein PhnE,Inorganic ion transport and metabolism,A0A0E0VM78,Op104
USA300HOU_RS00745,phnE,NC_010079.1,USA300HOU_0153,161929,162729,-,phosphonate ABC transporter%2C permease protein PhnE,Inorganic ion transport and metabolism,A0A0E1VNY1,Op104
USA300HOU_RS00750,phnC,NC_010079.1,USA300HOU_0154,162731,163504,-,phosphonate ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0H3K647,Op104
USA300HOU_RS00755,USA300HOU_RS00755,NC_010079.1,USA300HOU_0155,163718,164674,-,phosphate/phosphite/phosphonate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0E0VLY0,Op105
USA300HOU_RS00760,USA300HOU_RS00760,NC_010079.1,USA300HOU_0156,164903,166447,+,hypothetical protein,Function unknown,A0A0H2WY16,Op106
USA300HOU_RS00765,USA300HOU_RS00765,NC_010079.1,USA300HOU_0157,166498,168033,+,bifunctional metallophosphatase/5'-nucleotidase,Nucleotide transport and metabolism,A0A0H2WXQ0,Op107
USA300HOU_RS00770,USA300HOU_RS00770,NC_010079.1,USA300HOU_0158,168117,168320,+,hypothetical protein,No COG annotation,A0A0H2X280,Op108
USA300HOU_RS15690,USA300HOU_RS15690,NC_010079.1,,168545,169453,+,replication initiation factor domain-containing protein,No COG annotation,,Op109
USA300HOU_RS00785,USA300HOU_RS00785,NC_010079.1,USA300HOU_0160,169609,169863,+,hypothetical protein,No COG annotation,A0A5A8VR73,Op110
USA300HOU_RS15700,tnpA,NC_010079.1,,170167,170651,+,IS200/IS605 family transposase,No COG annotation,,Op111
USA300HOU_RS00795,adhE,NC_010079.1,USA300HOU_0162,171101,173710,+,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,Energy production and conversion,A0A0D6GK98,Op112
